id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
22,關於膽管癌(cholangiocarcinomas)以下敘述何者錯誤?,"(A)膽管癌的症狀包括腹痛、黄疸、疲勞、食慾不振、體重減輕等等,或是毫無症狀。",(B)肝外膽管癌(Extrahepatic cholangiocarcinomas)的發生率遠高於肝內膽管癌,(C)大部分膽管癌的組織型態為 adenocarcinoma.,(D)膽管癌是最常見的肝原發性惡性腫瘤。,D,最常見的肝臟原發性惡性腫瘤是「肝細胞癌(HCC)」，膽管癌是第二常見的原發惡性腫瘤。,肝臟腫瘤診斷與處理的原則,魏鈺儒,"📖 chatGPT 學長背景知識

膽管癌（cholangiocarcinomas）是一種源自膽管上皮的惡性腫瘤，主要分為肝內膽管癌和肝外膽管癌。以下是關於膽管癌的核心觀念：

- 膽管癌的『症狀』包括『腹痛』、黃疸、疲勞、食慾不振及體重減輕，部分患者可能無明顯症狀。
- 肝外膽管癌的『發生率』確實高於肝內膽管癌，但並非所有文獻均一致，需依據具體研究數據。
- 大部分膽管癌的『組織型態』為腺癌（adenocarcinoma），這是正確的描述。
- 然而，膽管癌並不是『最常見的肝原發性惡性腫瘤』，肝細胞癌（hepatocellular carcinoma）才是最常見的類型。

因此，選項 (D) 的敘述是錯誤的，因為膽管癌並非最常見的肝原發性惡性腫瘤，這一點在臨床醫學中是廣為認可的。"
23,"一位92歲男性,B肝帶原,中風後長期臥床,生活無法自理,意識不清,由外傭全天照顧,因黃疸送醫,血液檢查顯示貧血、肝功能失代償,腹部超音波檢查發現多發性肝腫瘤,患者接受進一步肝臟電腦斷層檢查,無淋巴結以及遠端轉移,但是侵犯主要門靜脈,病理組織診斷為肝細胞癌,請問您會建議患者以下何種治療:",(A)手術切除(resection),(B)肝腫瘤消融(ablation),(C)支持性療法 (supportive care),(D)經動脈栓塞化療術(Transarterial Chemoembolization),C,"患者年事已高、生活無法自理、意識不清，且肝癌已侵犯主要門靜脈(屬於 Terminal stage D)，此時以支持性療法(Best supportive care, BSC)最能維護患者生活品質。",肝臟腫瘤診斷與處理的原則,魏鈺儒,"📖 chatGPT 學長背景知識  
- 患者為92歲男性，『B型肝炎』帶原者，長期臥床，意識不清，且有『肝功能失代償』及『貧血』。  
- 腹部超音波顯示『多發性肝腫瘤』，經電腦斷層檢查確認『侵犯主要門靜脈』，病理診斷為『肝細胞癌』。  
- 患者年齡及健康狀況使得手術風險增加，且無法進行有效的『手術切除』或『肝腫瘤消融』。  
- 『經動脈栓塞化療術』雖可考慮，但因患者的整體狀況及肝功能不佳，可能無法承受此治療。  
- 在這種情況下，『支持性療法』是最合適的選擇，旨在改善生活品質，減輕症狀，並提供必要的護理與舒適照顧。  
- 總結來說，考量患者的年齡、病情及治療風險，選擇『支持性療法』是最符合患者需求的選擇。"
24,關於肝臟血管瘤(hemangioma)以下敘述何者正確?,(A)最常見的良性肝臟腫瘤,(B)男性發生比例高於女性,(C)肝臟腫瘤切片比起電腦斷層更能夠幫助診斷,(D)大部分的血管瘤都需要儘快治療,A,(A)正確，血管瘤是肝臟最常見良性腫瘤。(B)女性發病比例遠高於男性(約4-6:1)。(C)切片出血風險極高且價值有限，CT即可確診。(D)絕大多數血管瘤無症狀，不需治療。,肝臟腫瘤診斷與處理的原則,魏鈺儒,"📖 chatGPT 學長背景知識

肝臟血管瘤是最常見的『良性肝臟腫瘤』，其發生率在一般人群中約為1-5%。這種腫瘤通常在女性中較為常見，男性的發生比例較低，因此選項(B)不正確。肝臟血管瘤通常是無症狀的，且大多數情況下不需要治療，只有在出現併發症或症狀時才需考慮手術，因此選項(D)也不正確。診斷上，『影像學檢查』如電腦斷層（CT）或磁共振成像（MRI）通常是首選，因為它們能夠提供清晰的腫瘤特徵，而切片檢查則不常用於診斷良性腫瘤，因此選項(C)也不正確。綜合以上分析，正確答案為(A)，肝臟血管瘤確實是最常見的良性肝臟腫瘤。"
25,"膽道閉鎖 (biliary atresia)是嬰兒期重要的慢性肝膽疾病,也是兒童肝臟移植手術最常見的病因。關於此病的診斷與治療,下列敘述何者錯誤?","(A)肝外總膽管發生纖維化阻塞是其特徵,通常在發病幾個月內就會進展成肝硬化",(B)膽道閉鎖最主要的臨床表現是出生一週後快速上升且必須加強照光的間接型黃疸,"(C)由於缺乏膽汁進入十二指腸,罹病嬰兒大便顏色會變成淺黃或是灰白便","(D)葛西式手術 (Kasai operation)是膽道閉鎖的治療方式,診斷後應及早於出生60天內開刀",B,膽道閉鎖的臨床特徵是「稽延性黃疸(Prolonged jaundice > 2週)」以及「直接型高膽紅素血症(Direct type)」，與常見的母乳性或生理性間接型黃疸不同。,兒童消化疾病,施相宏,"📖 chatGPT 學長背景知識  
- 『膽道閉鎖』是嬰兒期常見的肝膽疾病，主要因『肝外總膽管』的『纖維化阻塞』導致膽汁無法排出。  
- 此病通常在出生後數週內出現『黃疸』，且隨著病情惡化，可能在數月內進展至『肝硬化』。  
- 罹病嬰兒的『大便顏色』會因缺乏膽汁而變為『淺黃』或『灰白便』，這是診斷的重要指標。  
- 『葛西式手術』(Kasai operation)是治療膽道閉鎖的主要方法，應在診斷後的『60天內』進行，以提高成功率。  

綜合以上知識，選項B的敘述是錯誤的。雖然『間接型黃疸』在出生後一週內上升，但其特徵並非『快速上升且必須加強照光』，而是持續存在且逐漸加重的黃疸。因此，正確的臨床表現應該是持續的黃疸，而非特定的加強照光需求。"
26,"一位4週大的男嬰持續出現餵食後噴射狀吐奶(projectile vomiting),食慾正常且沒有發燒或腹瀉狀況,身體檢查在右上腹部區域可以觸摸到橄欖狀腫塊(olive mass),以下診斷何者最為正確?",(A)輪狀病毒引起的急性胃腸炎,"(B)正常之嬰兒溢奶現象,繼續觀察即可",(C)十二指腸閉鎖 (duodenal atresia),(D)嬰兒肥厚性幽門狹窄(infantile hypertrophic pyloric stenosis),D,四週大嬰兒、非膽汁性噴射狀吐奶(projectile vomiting)外加右上腹摸到橄欖狀腫塊(olive mass)，為肥厚性幽門狹窄的極經典教科書表現。,兒童消化疾病,施相宏,"📖 chatGPT 學長背景知識

在這道題目中，4週大的男嬰出現『噴射狀吐奶』及『橄欖狀腫塊』的症狀，這些特徵指向了嬰兒肥厚性幽門狹窄（infantile hypertrophic pyloric stenosis）。此病症通常在出生後3至12週內發生，主要因為幽門肌肉過度肥厚，導致食物無法順利通過胃部進入十二指腸，造成『持續性嘔吐』，且嘔吐物常為『噴射狀』。

其他選項中，輪狀病毒引起的急性胃腸炎通常伴隨腹瀉和發燒，與本案例不符；正常嬰兒溢奶現象一般不會出現橄欖狀腫塊；而十二指腸閉鎖則會伴隨其他更明顯的症狀，如腹脹等。因此，根據臨床表現及檢查結果，最正確的診斷為嬰兒肥厚性幽門狹窄（選項D）。"
27,"巨結腸症(Hirschsprung disease)是兒童下消化道阻塞的常見原因,其診斷特徵為直腸以上一段距離之大腸缺乏神經節細胞,下列敘述何者正確?","(A)若於新生兒時期發病,臨床表現包括超過48小時未解胎便並合併腹脹","(B)劑大腸攝影檢查(non-preparing megacolon series)可作為 Hirschsprung disease 的初步診斷工具,呈現異常擴張巨大結腸的部位,就是無神經節細胞的腸道,必須手術切除","(C)罹病幼兒會出現解便疼痛甚至出血,常見憋便(withholding)甚至發生遺便(fecal soiling)現象",(D)腹部超音波檢查出現典型的標靶病灶 (target lesion),A,(A)正確，新生兒發病通常在48小時內無法排出胎便。(B)大腸攝影檢查中，成窄縮狀(Transitional zone)的部位才是缺乏神經節細胞的地方，上游擴張部分反而有神經節。(C)為功能性便秘表現。(D)標靶病灶為腸套疊表徵。,兒童消化疾病,施相宏,"📖 chatGPT 學長背景知識  
巨結腸症（Hirschsprung disease）是一種由於『神經節細胞』缺乏而導致的先天性疾病，主要影響兒童的下消化道，造成『腸道阻塞』。此病通常在新生兒期被診斷，臨床表現包括『超過48小時未解胎便』及『腹脹』等症狀。

在診斷方面，雖然大腸攝影檢查可以顯示腸道的擴張情況，但並非初步診斷的首選工具，因為確診通常需要『組織學檢查』來確認缺乏神經節細胞。罹病幼兒可能會出現『解便疼痛』、『憋便』及『遺便』等現象，這些都是由於腸道功能異常所引起的。

腹部超音波檢查雖然可以提供一些資訊，但並不會顯示典型的『標靶病灶』，因此不具特異性。總結來說，選項A的描述最為正確，因為它符合巨結腸症的臨床表現及診斷特徵。"
28,"二歲幼兒被帶來急診,母親主訴過去一兩天開始出現間隔約20分鐘的陣發性哭鬧(intermittent crying),最可能的診斷是下列何者?",(A)嬰兒腸絞痛 (infantile colic),(B)梅克爾憩室(Meckel diverticulum)合併潰瘍出血,(C)腸套疊(intussusception),(D)小腸扭轉(midgut volvulus),C,兩歲幼兒突發陣發性哭鬧(每10-20分鐘一次，為腸道間歇蠕動引起的絞痛表現)，臨床上高度懷疑小兒最常見的急性腹症之一：腸套疊(Intussusception)。後期常伴隨草莓果醬便(red currant jelly stool)。,兒童消化疾病,施相宏,"📖 chatGPT 學長背景知識  
- 二歲幼兒出現『間隔性哭鬧』，通常與腹部不適有關。  
- 常見的腹痛原因包括『腸絞痛』、腸道異常及『腸套疊』等。  
- 『腸套疊』是指腸道的一部分滑入相鄰腸道，造成腸道阻塞，常見於幼兒。  

在此案例中，幼兒的『陣發性哭鬧』持續約20分鐘，這種特徵性表現常見於『腸套疊』，因為疼痛通常是間歇性且劇烈，伴隨可能的嘔吐和腹部腫脹。相比之下，『嬰兒腸絞痛』通常在三個月以下的嬰兒中較為常見，且疼痛不會如此劇烈且持久。『梅克爾憩室』雖然可能導致出血，但其症狀通常不會以陣發性哭鬧表現。『小腸扭轉』雖然也會引起劇烈腹痛，但其發病機制和臨床表現與腸套疊有所不同。因此，根據症狀及年齡，最可能的診斷為『腸套疊』。"
29,"以下關於急性膽囊炎的敘述,何者最不適當?","(A)約90%為急性結石性膽囊炎,因膽囊頸部或膽囊管阻塞造成",(B)急性非結石性膽囊炎主要的風險因子包括敗血症及喝酒。,(C)急性非結石性膽囊炎主要與缺血有關,(D)前列腺素(prostaglandin)的釋放與發炎有關。,B,急性非結石性膽囊炎(Acute acalculous cholecystitis)約佔10%，多由缺血(Ischemia)引發，風險因子包含嚴重創傷/燒傷、休克敗血症、多重器官衰竭、重度糖尿病。與酗酒無直接關聯。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識

急性膽囊炎是膽囊的急性發炎，通常由膽結石引起，但也可能因其他因素導致。以下是急性膽囊炎的核心觀念：

- 約『90%』的急性膽囊炎為『急性結石性膽囊炎』，主要因『膽囊頸部或膽囊管阻塞』造成。
- 『急性非結石性膽囊炎』相對少見，通常與『缺血』、『敗血症』或『重症疾病』有關，且『喝酒』並非主要風險因子。
- 前列腺素的釋放在發炎過程中扮演重要角色，促進血流及炎症反應。

綜合以上觀點，選項B提到的「急性非結石性膽囊炎主要的風險因子包括敗血症及喝酒」是不正確的。雖然敗血症確實是風險因子，但『喝酒』並不是急性非結石性膽囊炎的主要風險因子，這使得選項B最不適當。"
30,"17歲女性,出現肝功能異常、腹水、脾臓腫大及手顫抖等現象,病人亦偶有精神症狀和行為異常。肝臟穿刺切片最可能出現下列何種變化?",(A)脂肪性肝炎(steatohepatitis)。,(B)periodic acid-Schiff (PAS)染色陽性的小球(globule)。,(C)銅離子沉積在肝細胞。,(D)非化膿性肝內膽管破壞(nonsuppurative destruction of intrahepatic bile duct),C,青少年發病、有慢性肝炎/肝硬化表現，並合併中樞運動控制受損(手顫抖)與行為異常，為典型的威爾遜氏症(Wilson Disease，ATP7B基因突變)。病理核心變化為過量銅離子沉積於多器官組織。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識  
本題描述的17歲女性患者出現的症狀包括『肝功能異常』、腹水、脾臓腫大及『手顫抖』，這些都可能與『威爾遜病』（Wilson's disease）有關。威爾遜病是一種遺傳性疾病，導致『銅』在體內過度積聚，特別是在肝臟和腦部，進而引發肝臟損傷及神經精神症狀。

患者的『精神症狀』和『行為異常』也支持這一診斷，因為銅的沉積可影響中樞神經系統。肝臟穿刺切片中最可能觀察到的變化是『銅離子沉積在肝細胞』，這是威爾遜病的特徵性病理變化。其他選項如脂肪性肝炎、PAS染色陽性的小球及非化膿性肝內膽管破壞，雖然可能與其他肝病相關，但不符合本病例的臨床表現。

因此，根據上述分析，正確答案為(C) 銅離子沉積在肝細胞。"
31,"下列疾病與檢驗配對之敘述,何者最不適當?",(A)primary biliary cirrhosis 病人90%以上的病人有 anti-mitochondrial 抗體。,(B)antinuclear antibody (ANA)及 anti-smooth muscle antibody 為第一型自體免疫性肝炎的血清指標。,(C)第二型自體免疫性肝炎的血清指標為 anti-liver kidney microsomal antibodies(anti-LKM1)。,(D)約在65%的 primary sclerosing cholangititis 病人可檢測出 cytoplasmic antineutrophil cytoplasmic antibodies (CANCA)。,"A,D",本題申覆後送分修改答案為AD。(A)Primary biliary cirrhosis目前已更名為 Primary biliary cholangitis。(D)PSC(原發性硬化性膽管炎)的特異性循環抗體指標應為 pANCA (perinuclear ANCA)，而非 cANCA。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識  
在自體免疫性肝病中，正確的抗體檢測對於診斷及治療至關重要。以下是各選項的核心觀念：

- 『primary biliary cirrhosis』(PBC) 的病人中，超過90%會檢測到『anti-mitochondrial antibody』，這是其特徵性標誌。
- 第一型自體免疫性肝炎的血清指標包括『antinuclear antibody (ANA)』及『anti-smooth muscle antibody』，這是正確的配對。
- 第二型自體免疫性肝炎的標誌為『anti-liver kidney microsomal antibodies (anti-LKM1)』，此選項亦正確。
- 然而，『primary sclerosing cholangitis』(PSC) 的病人中，約65%可檢測到的抗體是『perinuclear antineutrophil cytoplasmic antibodies (p-ANCA)』，而非『cytoplasmic antineutrophil cytoplasmic antibodies (c-ANCA)』。因此，選項D的描述不正確。

綜合以上，最不適當的選項為D。"
32,"下列有關""胰腺癌(pancreatic carcinoma)”的敘述,何者最不適當?",(A)病人可能會以疼痛或黄疸的症狀來表現。,(B)pancreatic cystic neoplasm 可能為其前驅病兆(precursor lesion),(C)BRCA2 mutations 與 familial pancreatic cancer 有關。,"(D)目前認為由 normal pancreas duct 到 pancreas invasive carcinoma 的 model,最早的變化是 -catenin gene mutation。",D,胰臟腺癌最早期的多步癌變模型變化是端粒縮短(Telomere shortening)與 KRAS 基因突變。-catenin 突變與肝細胞腺瘤(hepatocellular adenoma)發病相關。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識  
胰腺癌是一種高度惡性的腫瘤，通常在診斷時已經進展到晚期，且其病因與多種遺傳及環境因素有關。

- 胰腺癌的常見症狀包括『疼痛』和『黃疸』，這是因為腫瘤可能壓迫膽管或引起周圍組織的炎症。
- 胰腺囊腫性腫瘤（pancreatic cystic neoplasm）確實被認為是某些類型胰腺癌的『前驅病兆』，特別是漸進性變化的過程中。
- BRCA2基因突變與『家族性胰腺癌』有關，這表明遺傳因素在某些患者中扮演重要角色。

然而，選項D提到的從『正常胰腺導管』到『胰腺侵襲性癌』的模型，最早的變化是『β-catenin基因突變』，這一說法並不正確。胰腺癌的發展通常涉及多個基因的突變，包括KRAS、TP53等，而β-catenin突變在胰腺癌中的角色並不如在其他癌症（如結腸癌）中明顯。因此，選項D的描述最不適當。"
33,"以下關於”病毒性肝炎”的敘述,何者最不適當?","(A)當 B 型肝炎病患出現 Anti-HBe antibody 時,通常代表 active viral replication。","(B)C 型肝炎病患常以慢性肝炎表現,慢性 C 型肝炎病患血中之 HCV RNA 通常會持續出現。","(C)A 型肝炎大部分是 self-limited disease,很少造成 fulminant hepatitis。","(D)E 型肝炎病毒常是造成旅行者肝炎(traveler hepatitis)的元凶,並且懷孕婦女感染有將近 20% 的 死亡率。",A,在 B 肝血清標記中，代表病毒高量主動複製/具高傳染性的指標是 HBeAg、HBV DNA。而 Anti-HBe 抗體的出現，代表急性發炎期已過、複製活躍度正在減弱衰退(on the wane)。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識

病毒性肝炎是由不同病毒引起的肝臟炎症，主要包括 A、B、C、D、E 型肝炎。每種肝炎的臨床表現、傳播途徑及預後均有所不同。

- B 型肝炎：當病患出現『Anti-HBe antibody』時，通常代表病毒複製活躍的情況不再，反而是病毒活動減少的指標，因此選項 (A) 錯誤。
- C 型肝炎：慢性 C 型肝炎患者的『HCV RNA』通常持續存在，且多數患者表現為慢性肝炎。
- A 型肝炎：大部分為『自限性疾病』，少數可進展為『急性肝衰竭』，但發生率較低。
- E 型肝炎：常見於旅行者，特別是在衛生條件不佳的地區，對孕婦的影響確實嚴重，死亡率可達 20%。

綜合以上分析，選項 (A) 是最不適當的敘述，因為它誤解了『Anti-HBe antibody』的意義，應該是指示病毒複製減少，而非活躍。"
34,"以下關於""Circulatory disorder of liver”的敘述,何者最不適當?","(A)Nutmeg liver 與 systemic circulatory compromise 有關,其病理特徵是 centrilobular hemorrhagic necrosis。","(B)Hepatic artery compromise 會造成 Budd-Chiari syndrome,臨床症狀通常與 increased hepatic blood pressure 有關。","(C)Sinusoidal obstruction syndrome 可見到 sinusoidal endothelium injury,並可能發生 necrosis of perivenular hepatocytes。",(D)Impaired blood flow through the liver 最常見之原因是 liver cirrhosis.,B,Budd-Chiari syndrome 是指「肝靜脈(Hepatic vein)」或其出口下腔靜脈發生阻塞导致血液回流受阻，進而造成肝臟充血腫大、門脈高壓與腹水，與 Hepatic artery compromise 無關。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識  
肝臟的循環障礙是多種病理狀況的結果，涉及血流的減少或阻塞，可能導致肝臟功能受損。以下是對選項的綜合性分析：

- 『Nutmeg liver』是由於『全身性循環不良』所引起，特徵為『centrilobular hemorrhagic necrosis』，這是正確的描述。
- 『Budd-Chiari syndrome』主要是由於『肝靜脈』的阻塞，而非『肝動脈』的問題，因此選項B的描述不正確，因為其臨床症狀確實與『肝臟血壓升高』有關，但原因應為靜脈而非動脈的問題。
- 『Sinusoidal obstruction syndrome』涉及『窦道內皮損傷』及『周圍靜脈肝細胞壞死』，這是正確的病理特徵。
- 『肝硬化』確實是造成肝臟血流受阻的常見原因，這一點也正確。

因此，選項B是最不適當的敘述，因為它錯誤地將Budd-Chiari syndrome的病因歸因於肝動脈的問題，而實際上是靜脈的阻塞所致。"
35,"下列關於”肝臟惡性腫瘤”的敘述,何者最不適當?","(A)肝細胞腺瘤(hepatocellular adenoma)為肝細胞癌(hepatocellular carcinoma)的 precursor lesion,尤其是有ẞ-catenin-activating mutation 的類型。","(B)遺傳性血鐵沉著症(hereditary hemochromatosis)與酒精性肝病變(alcoholic liver disease)的病人,死因可能是肝細胞癌。","(C)肝細胞癌的病人血清會有甲型胎兒球蛋白(a-fetoprotein)升高之表現,因此很適合用來當成篩檢 肝癌的工具。",(D)最常發生於肝臟之腫瘤是轉移性惡性腫瘤(metastasis)。,C,甲型胎兒球蛋白(AFP)在早期小肝癌中敏感度差，多於進展期(advanced disease)明顯升高，故臨床上不適合作為單一、獨立的早期篩檢工具。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識

肝臟惡性腫瘤的相關知識包括肝細胞癌的病因、病理及其臨床表現。以下是對題目中選項的綜合性詳解：

- 『肝細胞腺瘤』雖然可視為肝細胞癌的前驅病變，但並非所有類型的肝細胞腺瘤都會轉變為肝細胞癌，特別是沒有『β-catenin』突變的類型。
- 『遺傳性血鐵沉著症』及『酒精性肝病』均為肝細胞癌的危險因子，這些病人確實可能因肝細胞癌而死亡。
- 『甲型胎兒球蛋白』(AFP)在肝細胞癌病人中常見升高，但其特異性不足，不能單獨用作篩檢工具，因為其他肝病也可能導致AFP升高，因此這一選項的敘述不夠準確。
- 『轉移性惡性腫瘤』是肝臟最常見的腫瘤類型，這一點在臨床上得到廣泛認可。

綜合以上分析，選項C的敘述最不適當，因為雖然AFP升高與肝細胞癌相關，但其作為篩檢工具的有效性受到質疑。"
36,"下列關於”膽汁淤積肝病(cholestatic liver disease)”的敘述,何者最不適當?","(A)成人最常見的 large bile duct obstruction 的原因是結石,長期下來可能會引起肝硬化(cirrhosis)。","(B)膽道阻塞所引起的新生兒病理性黄疸,以肝外膽道閉鎖(extrahepatic biliary atresia)為主,病人可能因此必須接受肝臟移植。","(C)肝硬化與膽道阻塞所引起的膽汁淤積肝病或黃疸,是以非結合性高膽紅素血症( Unconjugated hyperbilirubinemia)表現為主。","(D)敗血症的病人,其肝臟切片可見 portal-parenchymal interface 有 bile plugs 伴隨輕微的發炎。",C,肝硬化、膽道發炎阻塞所引起的膽汁淤積黃疸，是以「結合性高膽紅素血症(Conjugated / Direct hyperbilirubinemia)」表現為主。非結合性通常是溶血或先天轉移障礙(如Gilbert症)引起。,肝膽胰病理學,韋又菁,"📖 chatGPT 學長背景知識  
膽汁淤積肝病是由於膽汁流動受阻，導致膽紅素及其他膽汁成分在肝臟及血液中積聚。以下是與題目相關的核心觀念：

- 『膽道阻塞』可由多種原因引起，包括結石、腫瘤或先天性異常。
- 成人中，『結石』是最常見的『大膽管阻塞』原因，長期阻塞可導致『肝硬化』。
- 新生兒的病理性黃疸多由『肝外膽道閉鎖』引起，這可能需要『肝臟移植』。
- 『肝硬化』和膽道阻塞引起的膽汁淤積肝病，通常表現為『結合性高膽紅素血症』(conjugated hyperbilirubinemia)，而非『非結合性高膽紅素血症』(unconjugated hyperbilirubinemia)。
- 在敗血症患者中，肝臟切片可見『膽栓』(bile plugs)及輕微發炎，這是膽汁淤積的表現之一。

綜合以上觀念，選項C的描述不正確，因為膽道阻塞所引起的膽汁淤積肝病主要表現為『結合性高膽紅素血症』，而非『非結合性高膽紅素血症』。因此，選項C是最不適當的敘述。"
37,"圖是一個慢性膽囊炎的病理切片,請問箭頭所指的病理特徵為何?",(A)Perineural invasion。,(B)Rokitansky-Aschoff sinuses。,(C)Cholesterolosis.,(D)Mallory hyaline。,C,(本題原考點對應顯微鏡下的 Cholesterolosis，即吞噬了大量膽固醇的巨噬細胞聚集在 lamina propria，呈現典型的泡沫狀/泡泡狀細胞型態組合群)。,病理學實驗：肝膽胰病理,韋又菁,"📖 chatGPT 學長背景知識  
慢性膽囊炎是一種常見的膽囊疾病，通常由膽結石引起，導致膽囊壁的慢性炎症。病理切片中可見多種特徵，以下是相關的核心觀念：

- 『Rokitansky-Aschoff sinuses』：這是慢性膽囊炎的特徵性病理變化，指膽囊壁的腺體向內突入形成的囊腫，通常與膽囊的慢性炎症有關。
- 『Perineural invasion』：這是腫瘤細胞侵入神經周圍的現象，通常與惡性腫瘤相關，並不特異於膽囊炎。
- 『Cholesterolosis』：這是一種膽囊內膽固醇沉積的狀態，可能與慢性膽囊炎有關，但並非主要病理特徵。
- 『Mallory hyaline』：這是肝細胞內的病理變化，通常見於肝臟疾病，與膽囊炎無直接關聯。

根據上述分析，箭頭所指的病理特徵最可能是『Rokitansky-Aschoff sinuses』，因為這是慢性膽囊炎的典型病理表現，與其他選項相比，最能反映該病的病理特徵。"
38,"圖是 hepatocellular carcinoma 的病理切片,""箭號""所指的病理特徵通常代表預後不佳,請問此病理特徵為何?",(A)Nuclear pleomorphism,(B)Pseudoglanular formation,(C)Increased N/C ratio,(D)Vascular invasion。,D,切片中可見惡性腫瘤細胞成團直接侵犯侵入大血管壁空間內，此病理變化為「血管侵犯(Vascular invasion/Portal vein invasion)」，臨床上與血行轉移高度相關，代表預後差。,病理學實驗：肝膽胰病理,韋又菁,"📖 chatGPT 學長背景知識

肝細胞癌（hepatocellular carcinoma, HCC）是最常見的原發性肝癌，其病理特徵對預後有重要影響。以下是與題目相關的核心觀念：

- 『核異型性』(Nuclear pleomorphism)：細胞核形狀和大小的變異，通常與腫瘤的惡性程度相關，但並非唯一的預後指標。
- 『假腺體形成』(Pseudoglandular formation)：腫瘤細胞呈現腺體樣結構，雖然可見於某些腫瘤，但其預後意義不如其他特徵明顯。
- 『N/C比率增加』(Increased N/C ratio)：細胞核與細胞質的比例增加，通常反映細胞的增殖活性，但對預後的影響較為間接。
- 『血管侵犯』(Vascular invasion)：腫瘤細胞侵入血管，這是HCC中最具預後意義的特徵之一，與腫瘤的轉移風險和生存率密切相關。

綜合以上，血管侵犯是HCC中最重要的預後不良指標，因為它直接與腫瘤的擴散和轉移有關。因此，正確答案為(D) Vascular invasion。"
39,"有一名72歲男性患有腹部腫瘤,並接受了腫瘤切除,圖是病理切片的結果(包括正常組織與腫瘤部分),請問你的診斷是什麼?",(A)cholangiocarcinoma。,(B)hepatocellular carcinoma.,(C)ductal adenocarcinoma。,(D)gastrointestinal stromal tumor,送分,本題因出題原稿遺漏了對照器官的正常組織切片圖片，致使考生難以百分之百與常見的轉移性/胰管腺癌區分，經學生集體申覆後，韋又菁老師同意本題一律給予「送分」處理。,病理學實驗：肝膽胰病理,韋又菁,"📖 chatGPT 學長背景知識

在診斷腹部腫瘤時，需考慮患者的年齡、腫瘤的組織學特徵及臨床表現。72歲男性患者的腫瘤切除病理切片結果可能涉及以下幾種腫瘤類型：

- 『膽管癌』(cholangiocarcinoma)：通常源自膽管上皮，常見於肝外膽管，病理特徵包括不規則的腫瘤細胞及腫瘤侵襲性。
- 『肝細胞癌』(hepatocellular carcinoma)：最常見的原發性肝癌，與肝硬化及乙型肝炎病毒感染有關，病理上可見肝細胞的異常增生。
- 『胰管腺癌』(ductal adenocarcinoma)：主要影響胰臟，通常表現為侵襲性腫瘤，病理上可見腺體結構的破壞。
- 『腸道間質瘤』(gastrointestinal stromal tumor)：源自腸道間質細胞，通常表現為腸道腫瘤，病理特徵包括特定的免疫組織化學標記。

根據患者年齡及腫瘤的常見性，『肝細胞癌』(B)是最可能的診斷，特別是在有肝病史的患者中。其他選項雖然可能，但在這個年齡層及臨床背景下，肝細胞癌的機率較高。"
40,"45歲女性主訴進食油膩食物後出現右上腹痛,疼痛持續逾8小時,伴隨噁心與嘔吐。理學檢查發現右上腹壓痛與 Murphy's sign 陽性,體溫為 38.3℃,抽血顯示白血球升高。下列何者為此患者的診斷工具與治療時機的最佳組合?","(A)腹部電腦斷層評估,保守治療一週後再考慮手術治療","(B)腹部超音波診斷,48小時內安排膽囊切除手術","(C)上消化道內視鏡診斷,24小時內安排膽囊切除手術","(D)核醫膽囊攝影診斷,先給予抗生素評估發燒是否改善,之後再決定是否需要手術治療",B,病患症狀完全符合急性膽囊炎(Acute cholecystitis)表現。臨床首選影像診斷工具為「腹部超音波」；目前的標準治療指南建議應在發作早期(通常在48-72小時內)儘早安排早期膽囊切除手術治療。,腹部常見症狀(含急性腹痛),王俊偉,"📖 chatGPT 學長背景知識  
本題描述的患者症狀符合『膽囊炎』的典型表現，特別是進食油膩食物後出現的『右上腹痛』、『噁心』、『嘔吐』及『Murphy's sign』陽性。這些症狀提示膽囊可能存在炎症或結石。

在診斷工具方面，『腹部超音波』是評估膽囊問題的首選，因其無創、快速且能有效檢查膽結石及膽囊炎的情況。根據臨床指引，對於急性膽囊炎患者，應在確診後48小時內安排『膽囊切除手術』，以降低併發症風險並改善預後。

其他選項如腹部電腦斷層雖可提供詳細影像，但通常不作為初步診斷工具；上消化道內視鏡不適用於膽囊問題；核醫膽囊攝影則較少用於急性情況，且需先給予抗生素的做法不符合急性膽囊炎的治療原則。

因此，最佳的診斷工具與治療時機組合為選項(B)：腹部超音波診斷，48小時內安排膽囊切除手術。"
