id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
"46","Which description is wrong?","(A) Joint x-ray study usually has two views, including AP and lateral projections. There are also special views for evaluation of a specific portion.","(B) MRI has better tissue contrast. It is better to use MRI to detect pulmonary or upper abdominal visceral contusion or laceration when rib fracture is noted after trauma.","(C) If we can’t detect the dorsal foot pulse in a patient with traumatic lower extremity fracture, arterial injury is suspected. The next step is to arrange CT angiography for further evaluation.","(D) Arthrogram is an image study of joints after injection of contrast agent into a joint. It can be used in X-ray, CT, and MRI.","B","MRI 較 長 的 檢 查 時 間 ， 因 此 病 人 狀 態 差、 意 識 不 佳、 緊 急 入 院 時 ， 首 選 處 置 絕 對 不 會是 MRI ， 可 能 躺 著 躺 著 就 沒 呼 吸 了","基礎影像學原理 蔡蕙怡"
"47","While reading skeletal x-ray films, we need to check A, B, C, S, which are:","(A) Bone texture, cortical bone, soft tissue and joint space, skeletal alignment","(B) Skeletal alignment, soft tissue, joint space, bone texture","(C) Soft tissue, joint space, bone texture, cortical bone","(D) soft tissue and joint space, intraskeletal vessels, skeletal alignment, bone texture","A","","基礎影像學原理 蔡蕙怡"
"48","The following image demonstrates an examination of the quadriceps muscle. Which imaging modality is being used?","(A) X-ray","(B) CT","(C) MRI","(D)Ultrasound","D","送 分 題 ， 圖 片 是 超 音 波 影 像 ， 透 過 聲 波 反 射 將 肌 纖 維 一 束 束 成 像 出 來。 雖 然 MR 也 可以 呈 現 肌 纖 維 走 向 ， 但 比 較 不 會 像 超 音 波 這 樣 黑 白 相 間。 左 圖 是 rotator cuff T2W 的 影 像 ； 右 圖 是 rotator cuff 超 音 波 影 像 比 較 一 下 肌 肉 纖 維 的 樣 子 ， 差 很 多 吧 ～","基礎影像學原理 蔡蕙怡"
"49","Which of the following statements about osteonecrosis of the femoral head (ONFH) is correct?","(A) MRI has low sensitivity for early ONFH and is not recommended as the first-line imaging modality.","(B) In bone scintigraphy, the typical crescent sign can be seen in ONFH.","(C) HIV infection does not increase the risk of ONFH.","(D) Major risk factors include long-term use of corticosteroids, alcohol abuse, or hematologic disorders.","D","(A)MRI 具 有 高 敏 感 性 (B) 在 X 光 下 才 會 呈 現 crescent sign (C)HIV 也 會 增 加 ONFH 風 險","骨質疏鬆與骨壞死 林松彥"
"50","Which of the following statements is incorrect?","(A) Smoking and alcohol consumption are risk factors for osteoporosis.","(B) When a patient has internal fixation in L1–L4 vertebrae or both hips, bone density can be measured by DXA at the distal one-third of the dominant forearm.","(C) A 65-year-old woman was incidentally found to have an old compression fracture of L1 during a health check. DXA showed bilateral hip T-scores of -1.2/-1.3 and lumbar spine T-score of -2.2. This woman is still considered to have osteoporosis.","(D) In premenopausal women, a Z-score ≤ -2.0 requires careful evaluation for secondary osteoporosis caused by disease or medication.","B","要 測 非 慣 用 手 的 橈 骨 ⅓ 喔 ， 這 hen 簡 單 吧","骨質疏鬆與骨壞死 林松彥"
"51","Which of the following statements is correct?","(A) Bone remodeling requires coupling between osteoclasts and osteoblasts.","(B) Daily intake of 1200 mg of calcium in osteoporosis patients reduces fracture risk.","(C) Native vitamin D3 must be converted by the kidney to 25(OH)D3 to increase its activity.","(D) Vitamin D status is usually assessed by serum 1,25-dihydroxyvitamin D [1,25(OH) ₂ D] levels.","A","(A) 可 以 看 到 bone remodeling cycle 中 osteoclast 和 osteoblast 都 有 參 與 (B) 補 充 鈣 不 會 減 少 骨 折 風 險 （ C ） 是 在 肝 臟 轉 換 （ D ）","骨質疏鬆與骨壞死 林松彥"
"52","What type of cell is indicated by the arrow?","(A) Osteocyte","(B) Osteoblast","(C) Osteoclast","(D) Fibroblast","C","大 且 多 核 ， H&E stain 呈 現 嗜 酸 性 染 色 ， 位 於 骨 表 面 凹 陷 處 (Howship’s lacunae)","組織學與實驗-骨骼與軟骨 施耀翔、吳敏瑜"
"53","What structure is indicated by the red dashed line?","(A) Endosteum","(B) Periosteum","(C) Perichondrium","(D) Territorial matrix","C","前 方 構 造 為 氣 管 （後 方 扁 掉 的 是 食 道） ， 含 有 由 hyaline cartilage 構 成 的 C 型 軟 骨 ； 而 紅線 圈 起 來 的 部 分 為 包 圍 cartilage 的 構 造 ： perichondrium 。","組織學與實驗-骨骼與軟骨 施耀翔、吳敏瑜"
"54","What is the purpose of the grip strength test in animal studies?","(A) To assess reflex and pain response","(B) To evaluate memory and learning","(C) To measure motor coordination","(D) To assess muscular strength and neuromuscular function","D","實 驗 只 考 一 題 但 給 了 四 點 考 訓 :) 因 為 考 古 偏 少 ， 附 上 跟 這 題 相 關 的 考 訓 ： 肌 肉 損 傷 動 物 模 式 的 種 類、 進 行 方 式、 評 估方 式 肌 肉 損 傷 動 物 模 式 整 理 種 類 Rota-rod test Grip strength test 圖 示 目 的 評 估 動 作 協 調 能 力 (motor coordination) ， 包 括 1. 肌 肉 功 能 2. 小 腦、 平 衡 與 協 調 主 要 測 試 前 肢 ， 評 估 ： 1. 肌 力 (muscle strength) 2. 神 經 肌 肉 功 能 (neuromuscular function) 3. 神 經 傳 導 與 肌 肉 收 縮 能 力 流 程 將 小 鼠 放 在 會 持 續 旋 轉 的 圓 柱 棒 上， 觀 察 其 掉 落 時 間 1. 讓 小 鼠 的 前 肢 抓 住 一 條 薄 線 或水 平 桿 2. 研 究 者 輕 拉 動 物 尾 部 ， 使 其 試著 保 持 抓 握 評 估 方 式 ● 掉 落 時 間 (Latency to fall) ○ 經 過 訓 練 ， 動 物 須 能 在 棒上 至 少 維 持 1 分 鐘 ○ 越 快 掉 落 ， 表 示 其 運 動 協調 或 肌 力 越 差 ● 掉 落 比 例 (Percent animals falling) ● 掉 落 比 例 (Percentage of animals losing the catching reflex) ● 肌 力 變 差 的 小 鼠 會 因 為 抓 不 牢而 提 早 掉 落","生理學實驗 薛元碩"
"55","Which statement best describes the general nature of bone tissue?","(A) It is an inert structure made of solid calcium.","(B) It is a static organ primarily for storage.","(C) It is a living, dynamic, and vascular tissue.","(D) It is composed solely of compact bone.","C","(A) 錯 在 「 inert 」 與 「 solid calcium 」。 骨 頭 主 要 礦 物 質 是 hydroxyapatite (Ca ₁₀ (PO ₄ ) ₆ (OH) ₂ ) ， 不 是 純 鈣 ， 也 不 是 惰 性。 它 具 有 代 謝 活 性 與 血 管 結 構。 (B) 雖 然 骨 有 儲 存 鈣、 磷 的 功 能 ， 但 非 「靜 態 器 官」 ， 它 持 續 進 行 remodeling 。 (D) 骨 頭 除 了 compact bone ， 還 有 spongy/trabecular bone ， 兩 者 共 同 構 成 骨 結 構。","骨與軟骨生理學 薛元碩"
"56","Which type of bone consists of parallel layers of collagen fibers and is found in all mature bones?","(A) Woven bone","(B) Compact bone","(C) Lamellar bone","(D) Trabecular bone","C","板 層 骨 (lamellar bone) 具 有 平 行 排 列 的 膠 原 纖 維 (A) 編 織 骨 (woven bone) 的 膠 原 纖 維 隨 機 排 列 並 交 織 在 一 起 (B) 緻 密 骨 (compact bone) 由 同 心 環 狀 排 列 的 骨 板 組 成。 (D) 骨 小 梁 (trabecular bone) 由 呈 不 規 則 網 狀 結 構 的 骨 板 組 成。","骨與軟骨生理學 薛元碩"
"57","What is the main function of the periosteum in bone?","(A) Fat storage","(B) Muscle contraction","(C) Bone growth and repair","(D) Osteoclast anchoring","C","骨 骼 生 長 與 修 復 (Bone Growth and Repair): 骨 膜 內 含 骨 原 前 驅 細 胞 (osteoprogenitor cells) ， 這 些 細 胞 能 夠 分 化 成 成 骨 細 胞 (osteoblasts) 。 骨 膜 的 內 層 （或 稱 造 骨 層 /cambium layer ） 含 有 造 骨 幹 細 胞 ， 當 骨 頭 需 要 修 復 時 ， 這 些 幹 細胞 會 從 此 處 釋 放 出 來","骨與軟骨生理學 薛元碩"
"58","Which of the following best describes the initial step in intramembranous ossification?","(A) Formation of cartilage model by chondroblasts","(B) Transformation of osteocytes into osteoblasts","(C) Clustering of mesenchymal cells and differentiation into osteoblasts","(D) Vascular invasion of hyaline cartilage","C","","骨與軟骨生理學 薛元碩"
"59","What is the correct sequence of events in the primary center of endochondral ossification?","(A) Periosteal bud invades → cartilage model forms → ossification center develops","(B) Chondrocytes proliferate → hypertrophy → calcification → vascular invasion","(C) Bone collar forms → mesenchyme condenses → chondrocyte hypertrophy → ossification","(D) Osteoclast activity begins → epiphyseal plate forms → cartilage calcifies","B","(A) Cartilage model forms → periosteal bud invades → ossification center develops (B) 正 確 (C) Mesenchyme condenses → chondrocyte hypertrophy → bone collar forms → ossification (D) Cartilage calcifies → osteoclast activity begins → epiphyseal plate forms","骨與軟骨生理學 薛元碩"
"60","What is the correct order of the ARF cycle in bone remodeling?","(A) Activation → Formation → Resorption","(B) Resorption → Reversal → Activation → Formation","(C) Activation → Resorption → Reversal → Formation","(D) Formation → Activation → Resorption → Reversal","C","","生理學實驗 薛元碩"
"61","Which vitamin deficiency leads to decreased collagen synthesis in bone?","(A) Vitamin D","(B) Vitamin A","(C) Vitamin C","(D) Vitamin B12","C","Vitamin C 能 催 化 Collagen 合 成 ， 入 學 有 考 過 ~","生理學實驗 薛元碩"
"62","Which type of cartilage is found in the external ear and epiglottis?","(A) Hyaline cartilage","(B) Fibrocartilage","(C) Elastic cartilage","(D) Articular cartilage","C","外 耳 和 會 厭 軟 骨 源 自 於 『 elastic cartilage 』","骨與軟骨生理學 薛元碩"
"63","Which of the following correctly matches the cartilage type with its main structural feature?","(A) Hyaline cartilage – abundant elastic fibers","(B) Elastic cartilage – type I collagen dominance","(C) Fibrocartilage – absence of perichondrium","(D) Articular cartilage – highly vascularized tissue","C","","骨與軟骨生理學 薛元碩"
"64","Which statement(s) is/are False ？","(A) Ceramics is a brittle material.","(B) Tendon is a ductile material","(C) Brittle material undergoes more plastic deformation before failure.","(D) Stainless steel is a brittle material.","送分","(A) Ceramics is a brittle material.→ 陶 瓷 杯 摔 到 地 板 會 碎 即 為 brittle material 的 表 現 (B) Tendon is a ductile material →tendon 可 以 拉 伸 ， 具 有 延 展 性 (ductility) (C) Brittle material undergoes more plastic deformation before failure.→brittle material 在 超 過 彈 性 變 形 的 極 限 (elastic limit) 後 ， 在 經 過 ” 一 小 段 ” plastic deformation就 會 rupture ； 反 之 ， ductile material 在 超 過 彈 性 變 形 的 極 限 (elastic limit) 後 ， 會 進 入 一段 不 短 的 塑 性 變 形 (plastic deformation) 才 會 rupture 。 (D) Stainless steel is a brittle material.→ 不 鏽 鋼 杯 摔 到 地 板 只 會 凹 進 去 ， 不 會 碎 掉 ，所 以 不 為 brittle material ， 而 是 ductile material 。","運動創傷及運動醫學 周伯禧"
"65","Which of the following(s) may not be helpful in diagnosing Superior Labrum Anterior to Posterior Lesion (SLAP) ？","(A) MR-Arthrography.","(B) Valgus Stress Test","(C) O’Brien’s Test","(D) Compression Rotation Test.","B","","運動創傷及運動醫學 周伯禧"
"66","Motion analysis can be clinically applied in which of the followings?","(A) Analysis of shoulder joint loading for tennis serve","(B) Analysis of elbow joint loading during fall on the outstretched hand.","(C) Gait Analysis in patients with osteoarthritis of the knee joint.","(D) All of the above.","D","(A) 手 舉 過 肩 的 運 動 ， 如 網 球、 棒 球、 排 球、 羽 球 都 有 可 能 出 現 RCT 的 運 動 傷 害 （旋 轉肌 部 分 損 傷 甚 至 完 全 斷 裂） (B) 很 多 的 骨 科 創 傷 來 自 跌 倒、 車 禍 等 原 因。 跌 倒 時 用 手 撐 地 上 (outstretched hand) 是上 肢 創 傷 （ eg. 手 腕、 肩 膀、 手 肘） 的 重 要 因 素 (C) 正 確","運動創傷及運動醫學 周伯禧"
"67","The highest shoulder joint loading can occur on which of the time interval during pitching motion?","(A) Winding phase","(B) Late cocking & early acceleration phase","(C) Deceleration phase","(D) Follow through phase","B","經 典 考 古 題","運動創傷及運動醫學 周伯禧"
"68","Which of the following statement(s) about ACL (Anterior Cruciate Ligament) injuries is/are false ？","(A) ACL injuries are frequently related to sports injuries","(B) ACL tear with associated injuries is an indication for surgical treatment","(C) Compression Rotation Test can detect ACL injuries","(D)MRI is useful in diagnosing ACL injuries","C","compression rotation test 是 測 SLAP 肩 關 節 唇 傷 害","運動創傷及運動醫學 周伯禧"
"69","Valgus Extension Overload is probably the most common cause of elbow injury in baseball pitchers. It is not associated with :","(A) lateral collateral ligament instability","(B) osteochondral injuries of the radio-capitellar joint","(C) ulnar nerve neuropathy","(D) posterior elbow impingement.","A","(A) 投 球 的 stress 主 要 在 medial side ， 非 lateral side","運動創傷及運動醫學 周伯禧"
"70","Which bone cannot be seen in X-ray Hand lateral view?","(A) Cuboid","(B) Lunate","(C) Capitate","(D) Trapezium","A","送 分 題 ， 8 塊 腕 骨 沒 有 一 塊 叫 Cuboid 看 一 下 真 正 的 lateral view 可 以 看 到 什 麼 吧！ 1. Capitate 2. Trapezium 3. Pisiform 4. Scaphoid 5. Lunate","足踝關節之骨科功能解剖學 陳姝蓉, 肌肉骨骼影像解剖學(1)-上肢 林育全"
"71","According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following belongs to Morphology (M)?","(A) A calcified lesion over greater tubercle in X-ray Shoulder AP view","(B) Dislocated radius and ulna in X-ray Elbow lateral view","(C) An over-bowing radius in X-ray Forearm AP view","(D) Additional middle phalanx and distal phalanx in X-ray Hand AP view","C","(A) 鈣 化 為 Texture (B)Dislocated 屬 於 Relation (C)over-bowing 屬 於 Morphology (D)Additional middle phalanx and distal phalanx 屬 於 Number","肌肉骨骼影像解剖學(1)-上肢 林育全"
"72","According to YCL method (CNRMT) interpreting a skeletal radiograph, which of the following does not belong to Texture (T)?","(A) A fracture line over greater tubercle in X-ray Shoulder AP view","(B) A whiter lunate (increased density) in X-ray Wrist AP view","(C) An osteolytic lesion over metaphysis of radius in X-ray Forearm AP view","(D) A metal implant over distal radius in X-ray Wrist lateral view","D","金 屬 植 入 物 屬 於 Category","肌肉骨骼影像解剖學(1)-上肢 林育全"
"73","Which of the following statements is incorrect?","(A)Vitamin D deficiency in adults may cause weakness, pain, or even no symptoms at all.","(B) Bone lesions caused by vitamin D deficiency in adults are called rickets.","(C)Parathyroid adenoma or parathyroid hyperplasia can both lead to elevated parathyroid hormone levels in the body, which in turn affect bone structure.","(D)Chronic renal failure can also affect bone metabolism.","B","","肌肉骨骼病理學(1) 陳建亨"
"74","Regarding osteogenesis imperfecta, which of the following descriptions is incorrect?","(A)Patients are unable to produce normal type I collagen.","(B)It is associated with mutations in the COL1A1 gene on 17q21.3–q22 and the COL1A2 gene on 7q21.3–q22.","(C)It is an autosomal dominant disorder that can be classified into four types.","(D)Due to the lack of normal type I collagen, patients’ irises may develop Lisch nodules.","D","(D) Lisch nodules 最 常 見 於 Neurofibromatosis type 1(NF1)","肌肉骨骼病理學(1) 陳建亨"
"75","Regarding osteonecrosis (or avascular necrosis), which of the following descriptions is incorrect?","(A)It is mostly caused by infection.","(B) It is associated with trauma, chronic alcohol abuse, or steroid use.","(C)In patients with long-term alcohol abuse, osteonecrosis often occurs in the femoral head.","(D)When it occurs, the medullary bone is often affected first, while the overlying cortical bone and cartilage cap remain unaffected for the time being, mainly due to differences in blood supply.","A","(A) 主 要 是 由 非 感 染 原 因 所 造 成。","肌肉骨骼病理學(1) 陳建亨"
"76","Which of the following descriptions about achondroplasia is incorrect?","(A)It involves chromosome 4 and is inherited in an autosomal dominant pattern.","(B) Patients usually have shortened limbs, but normal spinal length.","(C)During bone development, patients lack normal membranous ossification.","(D)It is associated with an activating mutation of FGFR3.","C","● 遺 傳 模 式 ： 體 染 色 體 顯 性 遺 傳 ， 第 4 對 染 樂 體 突 變 (4p16.3) ● 病 理 機 轉 ： FGFR3 基 因 發 生 活 化 突 變 (activation mutation) ，過 度 抑 制 軟 骨 內 骨化 (C) ○ 活 化 突 變 ： 讓 原 本 的 蛋 白 質 變 得 「過 度 活 躍」 的 突 變 ○ FGFR3 主 要 功 能 是 「適 度 的」 抑 制 軟 骨 細 胞 增 殖 與 骨 骼 生 長 速 度 ， 活 化 突變 會 使 得 FGFR3 過 度 活 化 ， 造 成 骨 骼 無 法 正 常 伸 長 ○ 主 要 影 響 長 骨 骨 化 的 過 程 ， 膜 內 骨 化不受 影 響 (C) ● 臨 床 表 現 ○ 骨 骼 ： 四 肢 短 小 ， 軀 幹 正 常 ○ 生 育 能 力、 致 力、 壽 命 皆 正 常","肌肉骨骼病理學(1) 陳建亨"
"77","Regarding osteomyelitis, which of the following descriptions is incorrect?","(A)Caused by bacterial infection through direct exposure or hematogenous spread.","(B) In children, it often occurs near the knee joint, while in adults it is more common in the foot.","(C)In 5–10-year-old children, osteomyelitis near the metaphysis of long bones is most commonly caused by Escherichia coli.","(D)Osteomyelitis of the maxillary bone and mandible is mostly associated with poor oral hygiene and dental caries.","C","(C) 選 項 錯 在 病 原 菌 的 歸 屬 ： ● 小 兒 （ 5–10 歲） 骨 髓 炎 最 常 見 的 病 原 菌 為 金 黃 色 葡 萄 球 菌 (Staphylococcus aureus) 。 ● Escherichia coli 通 常 見 於 泌 尿 道 感 染 或 免 疫 功 能 低 下 者 的 繼 發 性 感 染 ， 並 非常 見 於 小 兒 長 骨 骨 髓 炎。","肌肉骨骼病理學(1) 陳建亨"
"78","Regarding osteoporosis, which of the following descriptions is incorrect?","(A)In humans, bone mass usually peaks around 25–35 years of age.","(B) Patients’ trabeculae become smaller and thinner, failing to provide adequate structural support.","(C)Steroid therapy can slow down the rate of bone loss.","(D)Lack of exercise, alcohol abuse, and vitamin D deficiency are possible causes.","C","(A) (B) (C) + (D)","肌肉骨骼病理學(1) 陳建亨"
"79","Regarding soft tissue tumors, which of the following descriptions is incorrect?","(A)When filling out a pathology submission form, in addition to correctly recording the anatomical location of the lesion, it is also best to describe the depth of the lesion at that site.","(B) Most tumors are benign; malignant tumors are mostly sporadic, with only a few related to genetics.","(C)Environmental risk factors include radiation, burns, and toxins.","(D)Most malignant sarcomas have a simple karyotype with euploid chromosomes; these tumors often occur in young patients, and the tumor cells appear relatively uniform (monomorphic).","D","大 多 數 （ 80% 至 85% ） 的 惡 性 肉 瘤 屬 於 複 雜 核 型 （ Complex karyotype ） ， 這 些 腫 瘤 通 常 是非 整 倍 體 （ Aneuploid ） 或 多 倍 體 （ Polyploid ） ， 好 發 於 成 人 ， 且 腫 瘤 細 胞 形 態 多 樣 （Pleomorphic ）","肌肉骨骼病理學(2) 陳建亨"
"80","The following tissues are generally classified as soft tissue, but which one is not included?","(A)Adipose tissue.","(B) Muscular tissue.","(C)Vascular tissue.","(D)Mucosal epithelium.","D","","肌肉骨骼病理學(2) 陳建亨"
"81","Which of the following descriptions is incorrect?","(A) Lipomas usually have a capsule at the margin, clearly demarcated from surrounding tissues. Morphologically, they can be classified into conventional, fibrolipoma, angiolipoma, spindle cell lipoma, etc.","(B) Liposarcomas commonly occur in the limbs or retroperitoneum, in locations closer to the skin and more superficial, making them easier to excise.","(C) Liposarcomas can be further classified into atypical lipomatous tumor/well-differentiated liposarcoma, myxoid liposarcoma, and pleomorphic liposarcoma.","(D) Pleomorphic liposarcomas are usually more aggressive and prone to distant metastasis.","B","(B) 錯 誤。 脂 肪 肉 瘤 (Liposarcoma) 常 見 於 四 肢 近 端 或 腹 膜 後 (retroperitoneum) ， 且位 於 深 部 (deep part) ， 並 非 靠 近 皮 膚 或 表 淺 部 位。 (C)(D)","肌肉骨骼病理學(2) 陳建亨"
"82","Which of the following descriptions is incorrect?","(A) A motor unit consists of a motor neuron and the muscle bundles it innervates.","(B ) Type I muscle fibers perform aerobic exercise, allowing for prolonged contraction; they contain less intracellular fat and more glycogen. Type II muscle fibers perform anaerobic exercise, generating greater contraction force but with lower mitochondrial density. These two muscle types can convert into each other depending on reinnervation by different neurons.","(C) The connective tissue surrounding a single skeletal muscle fiber is called the endomysium.","(D) If the motor neuron in a motor unit is impaired, causing pathology in its innervated muscle group, it is called neuropathic myopathy. The muscle shows features such as grouped atrophy and fiber type grouping.","B","Type I muscle fibers perform aerobic exercise, allowing for prolonged contraction; they contain less intracellular fat and more glycogen. 這 句 描 述 中 ， 前 半 段 正 確 ， 但 是 type I muscle fibers is higher in its lipid content and lower in its glycogen content. Type II muscle fibers perform anaerobic exercise, generating greater contraction force but with lower mitochondrial density. 這 句 描 述 是 正 確 的。 These two muscle types can convert into each other depending on reinnervation by different neurons. 老 師 在 上 課 時 也 有 口 述 ： 「通 常 一 條 神 經 支 配 同 一 種 肌 肉 ， 但 type I 和 type II 在 特 定 情 況 下 可 互 換 ， 稍 後 會 提 到 (fiber type grouping) 」 因 此 這 句 是 正確的。","肌肉骨骼病理學(2) 陳建亨"
"83","Which of the following descriptions is incorrect?","(A) Total muscle mass and maximal muscle strength peak in youth and gradually decline with age.","(B) If this decline occurs too rapidly, resulting in muscle mass and maximal strength falling below a certain standard, it is currently called sarcopenia.","(C) Sarcopenia mainly affects daily activities and does not increase the risk of cardiopulmonary diseases; besides aging, it can also be caused by neurological disorders, lack of physical training, and obesity.","(D) Using muscle strength as an indicator, men with a dominant-hand grip strength below 27 kg should be concerned about sarcopenia.","C","(A) 正 確。 根 據 講 義 第 94 圖 表 ， 肌 力 在 「年 輕 時」 達 到 最 大 化 ， 在 「中 年 時」 維 持 ， 並 在「老 年 時」 最 小 化 流 失 （即 逐 漸 下 降）。 (B) 正 確。 講 義 第 94 、 95 頁 將 肌 少 症 定 義 為 與 老 化 相 關 的 肌 肉 流 失 。 圖 表 也 顯 示 當 肌力 下 降 到 「低 體 能 表 現」 或 「臨 界 失 能」 的 標 準 時 ， 即 需 「預 防 和 延 後 肌 少 症 發 生」。 該 敘述 符 合 肌 少 症 的 臨 床 概 念。 (C) 錯 誤。 肌 少 症 （ Sarcopenia ） 的 影 響 包 括 ： 跌 倒、 骨 折、 身 體 失 能、 死 亡 率 ， 以 及 心 臟疾 病 (Cardiac dz) 、 呼 吸 系 統 疾 病 (respiratory dz) 和 認 知 障 礙 。 因 此 ， 肌 少 症 是 會增 加 心 肺 疾 病 風 險 的。 (D) 正 確。 在 「肌 肉 力 量 切 點」 中 ， 男 性 慣 用 手 握 力 的 切 點 為 < 27 kg 。","肌肉骨骼病理學(2) 陳建亨"
"84","Which of the following statements is the most appropriate?","(A) Synovial sarcoma commonly shows t(X;18)(p11;q11), resulting in SS18-SSX1, SS18-SSX2, or SS18- SSX4 gene fusions.","(B) Ewing sarcoma commonly shows t(11;22)(q24;q12) or t(21;22)(q22;q12), resulting in EWS-FLI1 or EWS-ERG gene fusions.","(C) Alveolar rhabdomyosarcoma can show t(2;13)(q35;q14) or t(1;13)(p36;q14), resulting in PAX3- FOXO1 or PAX7-FOXO1 gene fusions.","(D) All of the above descriptions are correct.","D","本 題 Ａ Ｂ Ｃ 三 個 選 項 皆 正 確 ， 就 請 記 起 來 來 源 各 自 在 老 師 的 講 義 裡 （Ａ） 選 項 在 老 師 講 義 第 67 頁 ， 如 下 方 ： （ B ） 選 項 在 老 師 講 義 第 11 頁 表 格 第 一 行 ， 如 下 方 ： （Ｃ） 選 項 在 老 師 講 義 第 51 頁 ， 如 下 方 ：","肌肉骨骼病理學(2) 陳建亨"
"85","Which artery is the major blood supply to the hip joint?","(A) Superior gluteal artery","(B) Medial and lateral circumflex femoral arteries","(C) Obturator artery","(D) Femoral profunda artery","B","根 據 老 師 的 slide ， major blood supply to the hip joint 就 是 Medial and lateral circumflex femoral arteries 喔！ 記 憶 題 ， 常 考 ， 背 起 來 吧！","髖及膝關節功能解剖學 李忠祐"
"86","Which movement combination of the hip reproduces pain in piriformis syndrome during examination?","(A) Flexion, abduction, external rotation","(B) Flexion, adduction, internal rotation","(C) Extension, abduction, external rotation","(D) Extension, adduction, internal rotation","B","","髖及膝關節功能解剖學 李忠祐"
"87","In the knee’s screw-home mechanism (open chain), during the last 20° of extension, the tibia:","(A) Internally rotates, tightening cruciate ligaments","(B) Externally rotates, tightening cruciate ligaments","(C) Internally rotates, loosening cruciate ligaments","(D) Externally rotates, loosening cruciate ligaments","B","screw home mechanism 在 knee extension 最 後 的 20 度 會 向 外 旋 轉 至 鎖 定 ， 同 時 使ACL/PCL 繃 緊 ， 使 tibia 穩 定。","髖及膝關節功能解剖學 李忠祐"
"88","Which molecule is most directly associated with angiogenesis during fracture healing?","(A) TNF α","(B) IL-6","(C) VEGF","(D) BMP-2","C","老 師 上 課 特 別 強 調","骨折的生物力學及癒合 劉文智"
"89","Which of the following best characterizes secondary bone healing?","(A) Requires absolute stability and osteonal remodeling","(B) Occurs only in cortical bone","(C) Involves both intramembranous and endochondral ossification","(D) Leads to the direct formation of new osteons","C","(A) 需 要 絕 對 穩 定 性 和 骨 單 位 重 塑 (osteonal remodeling) ： 這 描 述 的 是 一 期 骨 癒 合 (Primary Healing) 。 繼 發 性 骨 癒 合 要 求 相 對 穩 定 性 (Relative stability) 。 (B) 只 發 生 在 皮 質 骨 (cortical bone) ： 繼 發 性 骨 癒 合 是 一 種 通 用 的 癒 合 機 制 ， 在 相 對 穩定 的 情 況 下 發 生。 海 綿 骨 (Cancellous bone) 的 癒 合 在 發 炎 期 後 主 要 由 膜 內 骨 化 主 導， 且 不 形 成 明 顯 的 外 部 骨 痂 ， 但 繼 發 性 癒 合 並 非 只 發 生 在 皮 質 骨 中。 (C) 涉 及 膜 內 骨 化 (intramembranous) 和 軟 骨 內 骨 化 (endochondral) 兩 種 過 程 繼 發 性 骨 癒 合 ， 也 被 稱 為 間 接 骨 癒 合 （透 過 骨 痂 形 成） ， 其 特 點 是 膜 內 骨 化 和 軟 骨 內 骨化 共 同 作 用 。 (D) 導 致 新 骨 單 位 (osteons) 的 直 接 形 成 ： 骨 單 位 重 塑 (Osteonal remodeling) 是 一 期骨 癒 合 的 核 心 過 程 。 繼 發 性 骨 癒 合 的 初 期 是 透 過 軟 骨 痂 和 硬 骨 痂 的 形 成 ， 最 終 的 重塑 階 段 才 涉 及 骨 單 位 的 重 組 ， 但 不 是 其 直 接 或 核 心 的 形 成 機 制。","骨折的生物力學及癒合 劉文智"
"90","Which of the following statements about fracture biomechanics is TRUE?","(A) Increased implant-bone contact improves bone perfusion","(B) Relative stability allows micromotion at the fracture site","(C) Reaming for intramedullary nails increases endosteal blood flow","(D) Absolute stability encourages callus formation","B","(A) larger implant-bone contact: reducing bone perfusion (C)reaming for intramedullary nails (IM nails): reduces endosteal blood flow (D)callus formation : relative stability 說 明 : 在 骨 折 癒 合 的 生 物 力 學 中 有 Primary/ Secondary healing, 其 中 Secondary Healing 講 義 中 提 到 ● Indirect healing by callus formation ○ Relative stability ○ Both intramembranous and endochondral bone formation","骨折的生物力學及癒合 劉文智"
"91","Which of the following statements about the sagittal band is correct?","(A) It extends the middle phalanx during metacarpophalangeal joint (MCPJ) extension.","(B) It attaches to the dorsal hood and stabilizes the lateral band.","(C) It assists in proximal phalanx extension and stabilizes the extensor tendon at the MCPJ.","(D) It allows distal interphalangeal joint extension when MCPJ is hyperextended.","C","Sagittal bands: ● attaches to the volar plate ● extend the P1 ● the extrinsic extensors can’t extend the P2 while MCPJ is hyperextended Also: ● Central slip extends the middle phalanx ● Triangular & Transverse reticular ligament stabilize the lateral band ● Terminal tendon allows DIP extension","手部、腕部骨骼功能解剖學 劉文智"
"92","Which of the following is a secondary stabilizer of the distal radioulnar joint (DRUJ)?","(A) Extensor carpi ulnaris tendon sheath","(B) Dordsal radiocarpal ligament","(C) Deep dorsal radioulnar ligament","(D) Extensor retinaculum","A","以 下 為 secondary stabilizer of the distal radioulnar joint (DRUJ) ： ECU (extensor carpi ulnaris) tendon sheath 6th dorsal compartment (ECU) sub-sheath Deep head of pronator quadratus(PQ) Interosseous lig. Of the forearm(central band) Ulnotriquetral lig. Ulnolunate lig.","手部、腕部骨骼功能解剖學 劉文智"
