id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
43,下列有關幽門螺旋桿菌的敘述，何者錯誤？,可在大氣環境（含約20%氧氣）和一般細菌培養基上培養,人類為其主要宿主，糞口途徑為可能的傳染方式,可能會導致胃潰瘍或十二指腸潰瘍,針對此菌的呼氣測試是檢測此菌的尿素酶活性，偵測的氣體為二氧化碳，是一種非侵入性的檢驗方法，有不錯的敏感度及專一性,A,幽門螺旋桿菌為微需氧菌,消化系統之細菌感染(I),幽門螺旋桿菌（Helicobacter pylori）是一種微需氧菌，這意味著它在氧氣濃度較低的環境中生長最佳，因此選項A的描述是錯誤的。這種細菌主要通過糞口途徑傳播，並且與胃潰瘍和十二指腸潰瘍的發生有關。針對幽門螺旋桿菌的呼氣測試是一種有效的檢測方法，能夠檢測其尿素酶活性，並且具有良好的敏感度和專一性。了解這些特性對於診斷和治療與幽門螺旋桿菌相關的疾病至關重要。
44,下列細菌與其致病因子的描述，何者錯誤？,Shigella dysenteriae可產生Shiga toxin，此毒素可抑制宿主細胞蛋白質的合成,辨識具有毒力之腸炎弧菌，通常是依據此菌所產生的熱安定溶血素,霍亂弧菌之霍亂毒素為A-B毒素，能活化adenylate cyclase，增加cyclic AMP濃度，造成腹瀉症狀,金黃色葡萄球菌的食物中毒是由不具耐熱性的腸毒素所造成，疾病潛伏期平均約24小時,D,金黃色葡萄球菌的腸毒素對熱安定，潛伏期平均4小時。,消化系統之細菌感染(I),金黃色葡萄球菌（Staphylococcus aureus）引起的食物中毒是由熱穩定的腸毒素所致，而非不具耐熱性的腸毒素。選項D的描述是錯誤的，因為這種腸毒素在高溫下仍然能夠存活，導致食物中毒的潛伏期通常約為4小時，而不是24小時。其他選項的描述則是正確的，特別是Shigella dysenteriae產生的Shiga toxin能夠抑制宿主細胞的蛋白質合成。了解這些細菌的致病機制對於預防和治療食物中毒至關重要。
45,下列敘述何者錯誤？,傷寒沙門氏桿菌被用以製成疫苗的Vi抗原所含的成分是莢膜多醣體,霍亂弧菌具有氧化酶，對胃酸敏感，造成腸胃道感染需要超過100000000的菌量,空腸曲狀桿菌屬微需氧菌，可引起腸胃炎、Guillain-Barré syndrome,蠟狀桿菌僅存在於人體，並未發現存在於環境中,D,蠟狀桿菌環境中普遍存在,消化系統之細菌感染(I),蠟狀桿菌（Bacillus cereus）並非僅存在於人體，而是廣泛存在於環境中，特別是在土壤和食物中。選項D的描述是錯誤的，因為這種細菌在自然界中非常常見。其他選項的描述則是正確的，特別是傷寒沙門氏桿菌的Vi抗原是由莢膜多醣體組成，並且霍亂弧菌對胃酸敏感，需要較高的菌量才能引起感染。了解這些細菌的生態和致病特性對於公共衛生和臨床治療至關重要。
46,下列何者最易影響 CYP 450?,Famotidine,Cimetidine,Nizatidine,Ranitidine,B,根據老師上課口述，可以看到cimetidine有許多副作用(其餘藥物不太會)，加上此要由CYP450代謝，所以會影響到其他一樣走這個代謝路徑的藥物,消化系統藥理學 楊玉嬌,Cimetidine是一種H2受體拮抗劑，廣泛用於治療胃酸相關疾病。它的代謝主要依賴於CYP450酶系統，這使得它在與其他藥物共同使用時，容易引發藥物間的相互作用。Cimetidine的副作用包括抗雄激素作用，可能導致男性性功能障礙等問題。相比之下，Famotidine、Nizatidine和Ranitidine的副作用較少，且對CYP450的影響也不如Cimetidine明顯。因此，Cimetidine是最容易影響CYP450的藥物。
47,下列何者不適用於胃食道逆流?,Atropine,Ranitidine,Domperidone,Metoclopramide,A,Atropine為抗膽鹼藥物，會減少腸胃蠕動，故不適用於胃食道逆流。,消化系統藥理學 楊玉嬌,Atropine是一種抗膽鹼藥物，主要通過抑制副交感神經系統來減少腸胃蠕動。由於胃食道逆流的病理機制涉及食道下括約肌的功能不全，使用Atropine可能會進一步減少腸胃的運動，導致食物在胃中的停留時間延長，從而加重胃食道逆流的症狀。因此，Atropine不適合用於治療胃食道逆流，而其他選項如Ranitidine和Domperidone則是常用的治療藥物。
48,下列何藥物最易導致腹瀉？,Omeprazole,Cimetidine,Nizatidine,Mg(OH)2,D,,消化系統藥理學 楊玉嬌,Mg(OH)2是一種常用的抗酸劑，具有潤腸的效果，常用於治療胃酸過多和消化不良。其主要作用是中和胃酸，但由於其潤腸的特性，可能會導致腹瀉，特別是在高劑量使用時。相比之下，Omeprazole、Cimetidine和Nizatidine通常不會引起腹瀉，反而可能導致便秘。因此，Mg(OH)2是最容易導致腹瀉的藥物。
49,下列何藥物最易導致子宮收縮？,Ranitidine,Omeprazole,Nizatidine,Misoprostol,D,,消化系統藥理學 楊玉嬌,Misoprostol是一種前列腺素E1類似物，常用於預防非類固醇抗炎藥物引起的胃潰瘍。它的主要作用之一是促進子宮收縮，因此在懷孕期間使用時需特別小心，因為可能引起流產或早產。相比之下，Ranitidine、Omeprazole和Nizatidine並不會引起子宮收縮，因此Misoprostol是最容易導致子宮收縮的藥物。
50,下列何藥物最易導致陽痿？,Omeprazole,Cimetidine,Nizatidine,Ranitidine,B,"Cimetidine為最早出現的H2 blocker, 副作用很多, 主要的副作用有抗雄激素（造成男性精蟲減少及陽痿）, 使動情素代謝變慢（造成男性女乳症）, 以及因爲用CYP450進行代謝, 所以很容易和其他藥物有drug-drug interaction",消化系統藥理學 楊玉嬌,Cimetidine是一種H2受體拮抗劑，最早被用於治療胃酸過多。其副作用包括抗雄激素作用，可能導致男性性功能障礙，如陽痿和女性乳腺發育。這是因為Cimetidine會干擾雄激素的代謝，並且由於其代謝依賴於CYP450酶系統，可能與其他藥物產生相互作用，進一步加重副作用。因此，Cimetidine是最容易導致陽痿的藥物。
51,下列何者為 prodrug？,Ondansetron,Omeprazole,Nizatidine,Sodium bicarbonate,B,,消化系統藥理學 楊玉嬌,Omeprazole是一種質子泵抑制劑，屬於prodrug，需在酸性環境中轉化為活性形式才能發揮作用。它通過抑制胃壁細胞的質子泵來減少胃酸分泌，從而有效治療胃酸相關疾病。相比之下，Ondansetron、Nizatidine和Sodium bicarbonate並不屬於prodrug，因此Omeprazole是正確答案。
52,下列何者說法是錯的？,糞便白血球在病毒性胃腸炎中很常見。,大多數急性傳染性胃腸炎是病毒性的。,病毒性胃腸炎的主要途徑是糞口傳播。,呼吸道感染和病毒性胃腸炎是最常見的人類感染症。,A,(A)病毒性胃腸炎的糞便中不會觀察到白血球,消化系統之病毒感染 張榮叁,在病毒性胃腸炎中，糞便中通常不會出現白血球，因為這類感染主要是由病毒引起，並不會引發典型的炎症反應。相對而言，細菌性胃腸炎則常伴隨白血球的出現。其他選項均為正確的陳述，病毒性胃腸炎的主要傳播途徑確實是糞口傳播，而呼吸道感染和病毒性胃腸炎是常見的人類感染症。因此，選項A的說法是錯誤的。
53,關於病毒性腸胃炎的發病機制，下列哪一項敘述是錯誤的？,輪狀病毒(Rotavirus) 可侵入成熟腸上皮細胞，導致吸收能力破壞並誘發腹瀉,輪狀病毒(Rotavirus) 可產生 NSP4，透過隱窩細胞(crypt cells)鈣依賴性跨上皮氯化物分泌(calcium-dependent transepithelial chloride secretion)引起分泌性腹瀉,諾羅病毒(Norovirus) 可感染空腸上皮，誘發細胞損傷、隱窩細胞增生(crypt hyperplasia)和發炎反應，引起腹瀉,陰性岩藻糖基轉移酶 2 基因(fucosyltransferase 2 gene)控制分泌者，感染諾羅病毒(Norovirus）患者會出現嚴重嘔吐。,D,,消化系統之病毒感染 張榮叁,選項D的說法是錯誤的，因為陰性岩藻糖基轉移酶2基因(fucosyltransferase 2 gene)並不是控制諾羅病毒感染的主要因素。諾羅病毒的感染機制主要涉及其對腸道上皮細胞的直接攻擊，導致細胞損傷和炎症反應。其他選項均正確描述了輪狀病毒和諾羅病毒的發病機制，因此選項D是錯誤的。
54,請問上圖切片取自何種器官?,Colon,Duodenum,Esophagus,Stomach,A,,,根據切片的上皮特徵，若上皮不是複層鱗狀上皮，則可以排除食道。若切片顯示腸道特徵，如腸絨毛和腺體，則可能是結腸。結腸的上皮通常是單層柱狀上皮，這與其他選項的上皮特徵不同。因此，這張切片最有可能取自結腸。
55,請問上圖切片取自何種器官?,Colon​,Duodenum​,Ileum​,Stomach,D,圖中可見gastric pit，推知爲胃的ㄧ部分。,消化系統組織學實驗(I) 張瀛双,這道題目要求辨識切片所屬的器官，根據圖中可見的 gastric pit，這是胃的特徵性結構。胃的內壁有許多 gastric pit，這些凹陷是胃腺的開口，負責分泌胃酸和消化酶。選項中，只有胃（Stomach）具有這種特徵，因此正確答案為 D。其他選項如 Colon、Duodenum 和 Ileum 都不具備這種特徵，故可排除。
56,請問上圖切片取自何種器官?,Pancreas,Jejunum,Gallbladder,Liver,D,"M110 組織學共筆week 10 Liver, Gallbladder, and Pancreas",消化系統組織學實驗(II) 張瀛双,這道題目要求辨識切片所屬的器官，根據組織學的特徵，肝臟（Liver）在顯微鏡下呈現特有的肝小葉結構，並且有明顯的血管和膽管分佈。選項中，只有肝臟符合這些特徵，因此正確答案為 D。其他選項如胰臟、空腸和膽囊在顯微結構上有明顯不同，故可排除。
57,請問上圖切片取自何種器官?,Jejunum,Duodenum,Colon,Stomach,A,"(A)可以看到圖中消化道絨毛表層為simpel columar epithelium ,絨毛很長且彼此之間排列較為緊密，絨毛下端明顯的深紫色區域為intestinal gland，以上特徵可以看出圖中為空腸的組織切片。",消化系統組織學實驗(I) 張瀛双,這道題目要求辨識切片所屬的器官，根據圖中顯示的消化道絨毛表層為單層柱狀上皮，且絨毛長且排列緊密，這是空腸（Jejunum）的特徵。下方的深紫色區域為腸腺，進一步證實了這是空腸的組織切片。因此，正確答案為 A。其他選項如十二指腸、結腸和胃在組織結構上有明顯不同，故可排除。
58,關於幽門螺旋桿菌的檢查，下列何者為非?,碳 13 尿素呼氣法對於早期追蹤很有用,治療幽門螺旋桿菌 1-2 周內用快速尿素酶試驗追蹤治療效果，有出現偽陰性風險,血清檢測常用於監測治療成功與否,快速尿素酶試驗變成紅色代表陽性，乃因為酸鹼度變化,C,,消化性潰瘍及幽門螺旋桿菌 吳政毅,這道題目考察對幽門螺旋桿菌檢查方法的理解。選項 C 提到的血清檢測並不常用於監測治療成功與否，因為血清抗體檢測無法準確反映當前感染狀態，尤其在治療後可能仍然存在抗體。因此，這是錯誤的陳述，正確答案為 C。其他選項均為正確的檢查方法，能有效評估幽門螺旋桿菌的感染及治療效果。
59,下列用來治療消化性潰瘍的藥物主要機制並非提高胃中的 pH 值?,Sucralfate,Proton pump inhibitors,𝐻2-receptor antagonists,anticholinergics,A,,消化性潰瘍及幽門螺旋桿菌 吳政毅,這道題目要求辨識治療消化性潰瘍的藥物機制。Sucralfate 的主要作用是形成保護膜，並不直接提高胃中的 pH 值，因此選擇 A 是正確的。相對而言，質子泵抑制劑（Proton pump inhibitors）和 H2 受體拮抗劑（H2-receptor antagonists）均是通過減少胃酸分泌來提高胃內 pH 值，而抗膽鹼藥物（anticholinergics）也有助於減少胃酸分泌。故此，正確答案為 A。
60,闌尾（appendix）最常見的腺體腫瘤為：,神經內分泌腫瘤（neuroendocrine neoplasm）,乳突狀腺癌（papillary adenocarcinoma）,杯狀細胞腺癌（goblet cell adenocarcinoma）,低度黏液性腫瘤（low grade mucinous neoplasm）,D,,消化道病理學(II) 馬佑鈞,這道題目詢問闌尾最常見的腺體腫瘤。根據病理學資料，低度黏液性腫瘤（low grade mucinous neoplasm）是闌尾最常見的腺體腫瘤，這種腫瘤通常生長緩慢，且在臨床上較為常見。其他選項如神經內分泌腫瘤、乳突狀腺癌和杯狀細胞腺癌雖然也可能出現，但相對於低度黏液性腫瘤而言，發生率較低。因此，正確答案為 D。
61,下列基因的變異，何者與家族性結直腸瘜肉綜合症（familial adenomatous polyposis 1）最有關？,APC,AXIN2,MSH6,WT1,A,,消化道病理學(II) 馬佑鈞,這道題目考察與家族性結直腸瘜肉綜合症（familial adenomatous polyposis 1）相關的基因。APC 基因的突變是該綜合症的主要致病因素，導致腺瘤性息肉的形成，進而增加結腸癌的風險。其他選項如 AXIN2、MSH6 和 WT1 雖然與其他遺傳性疾病有關，但並不是家族性結直腸瘜肉綜合症的主要致病基因。因此，正確答案為 A。
62,"腸胃道基質瘤(gastrointestinal stromal tumor, GIST)第一常見的突變基因是:",PDGFRA,c-KIT,BRAF,Her2/Neu,B,,消化道病理學(II) 馬佑鈞,這道題目詢問腸胃道基質瘤（GIST）最常見的突變基因。c-KIT 基因的突變是 GIST 的主要致病因素，約佔所有病例的 75-80%。而 PDGFRA 基因的突變雖然也會導致 GIST，但其發生率較低，約 8%。因此，正確答案為 B。
63,Whipple’s disease 最重要的病理特徵是?,mucosal and intraepithelial neutrophil infiltrates,caseating granuloma,foamy macrophages in the small intestinal lamina propria,ulcer,C,,消化道病理學,"Whipple's disease is a rare systemic illness caused by the bacterium Tropheryma whipplei. The most significant pathological feature of this disease is the presence of foamy macrophages in the lamina propria of the small intestine. These macrophages are laden with lipid-laden vacuoles, which are indicative of the disease. The accumulation of these macrophages leads to malabsorption and various gastrointestinal symptoms. Other features, such as mucosal neutrophil infiltrates and caseating granulomas, are not characteristic of Whipple's disease, making option C the correct answer."
64,根據消化生理實驗課的影片，當腸道平滑肌處於 pH=5 環境後，再調回 pH=7 時，請問會發生何種變化？,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會緩緩地往下掉,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會保持停住,D,M110 生理學實驗共筆,消化系統生理學實驗,"In the context of gastrointestinal physiology, when intestinal smooth muscle is exposed to a low pH environment (pH=5) and then returned to a neutral pH (pH=7), the muscle's contractile activity is expected to stabilize. The correct answer, D, indicates that the recording pen remains stationary, suggesting that the muscle does not immediately respond to the change in pH. This reflects the muscle's adaptation to environmental changes, which may take time to equilibrate."
65,根據消化生理實驗課的影片，當腸道平滑肌處於無鈣環境時，請問會發生何種變化?,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會立刻停住,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會緩緩地往下掉,A,根據上課影片及共筆 處於無鈣環境會立刻調至最低處,消化系統生理學實驗,"Calcium ions play a crucial role in muscle contraction, including intestinal smooth muscle. In a calcium-free environment, the muscle cannot contract effectively, leading to a rapid decrease in muscle tension. The correct answer, A, indicates that the recording pen drops immediately to the lowest position, reflecting the loss of contractile force. This phenomenon underscores the importance of calcium in muscle physiology and its role in initiating and sustaining contractions."
66,根據消化生理實驗課的影片，請問當腸道處於何種實驗條件的切換之後，可以快速地恢復？,有鈣/無鈣,有氧/無氧,5℃/35℃,前述皆可,D,只有pH 值改變，小腸不會立刻恢復，需等待一段時間平衡。除此之外，(A)(B)(C)狀況皆可快速恢復。,消化系統生理學實驗,"In gastrointestinal physiology, certain experimental conditions can lead to rapid recovery of muscle function. The correct answer, D, indicates that transitions between calcium presence/absence, aerobic/anaerobic conditions, and temperature changes (5℃ to 35℃) can all facilitate quick recovery. This is in contrast to pH changes, which require more time for the muscle to equilibrate. Understanding these dynamics is essential for interpreting muscle behavior under varying physiological conditions."
67,根據消化生理實驗課的影片，請問何種實驗條件會使肌肉張力下降？,給予 Epinephrine 時,25℃至 35℃時,給予 Acetylcholine 時,給予 Atropine 時,B,(A)不變  (B)下降  (C)上升  (D)不變,消化系統生理學實驗,"Muscle tension can be influenced by various factors, including temperature and neurotransmitter activity. The correct answer, B, indicates that muscle tension decreases when the temperature rises from 25℃ to 35℃. This phenomenon may be due to the effects of temperature on muscle metabolism and contractility. In contrast, epinephrine and acetylcholine typically increase muscle tension, while atropine has a neutral effect. Understanding these relationships is crucial for comprehending muscle physiology and its responses to different stimuli."
68,"關於胃癌的描述下列何者為是？
1. 遠端胃癌患者接受全胃切除手術(total gastrectomy)，不管是預後或
生活品質都優於接受次全胃切除手術(subtotal gastrectomy)者。
2. Roux-en-Y 重建方式只需要做一個位置的吻合，而 Billroth II 重建方式
則需要做兩個位置的吻合。
3. 不管腫瘤位置在何處，位於左胃動脈的淋巴結都是屬於第二群(group 2)的
淋巴結。
4. Linitis plastica (皮革胃) 通常治療預後極差。",12,124,23,34,D,,張琮琨 胃腫瘤及消化性潰瘍之外科治療,Roux-en-Y 和 Billroth II 是兩種不同的胃重建手術方式。Roux-en-Y 主要用於減重手術或治療胃癌，涉及將小腸的一部分連接到胃的側面，形成一個新的胃袋。而 Billroth II 則是將胃的下部與小腸直接連接，通常用於胃切除後的重建。這兩種手術都需要進行吻合，但其適應症和手術方式有所不同。
69,"關於消化性潰瘍手術的描述，下列何者為是？
1. 消化性潰瘍穿孔在特定狀況下，可不須接受手術治療。
2. 接受選擇性迷走神經切斷手術(selective vagotomy)後，潰瘍依舊復發
可能是因為保留 criminal nerve of Grassi。
3. 胃引流手術(gastric drainage surgery)中，以胃空腸繞道手術
(gastrojejunostomy)的長期併發症最少。
4. 輸入環症候群 (Afferent loop syndrome) 為需要積極手術處理的腹部
急症。",12,124,23,34,B,,,淋巴結的分群對於胃腫瘤的治療和預後有重要意義。第二群淋巴結主要包括位於左胃動脈周圍的淋巴結，這些淋巴結在腫瘤的淋巴轉移中扮演著關鍵角色。無論腫瘤的具體位置如何，左胃動脈的淋巴結都被認為是重要的轉移途徑。
70,以下對移行性運動複合波(Migrating motor complex; MMC)敘述何者為非?,(A) 受Motilin 調控,受腸壁神經系統(Enteric nerves system)調控,受自主神經系統(Autonomic nerve system)調控,每次週期 75-90 分鐘,C,,消化系統生理學(II)：消化道 黃烱瑋,Linitis plastica 是一種特殊類型的胃癌，特徵是胃壁變厚且硬化，導致胃的彈性喪失，呈現出皮革狀的外觀。由於其侵襲性強且常在診斷時已經是晚期，因此治療預後通常不佳。這種病理狀態的治療挑戰在於其廣泛的淋巴轉移和局部進展，常需要綜合治療策略。
71,胃腺(gastric gland)細胞中下列何者分泌內在因子(intrinsic factor)?,頸黏液細胞(mucous cell), 壁細胞(parietal cell),主細胞(chief cell),類嗜鉻細胞(ECL cell; enterochromaffin-like cell),B,,消化系統生理學(II)：消化道 黃烱瑋,選擇性迷走神經切斷手術旨在減少胃酸分泌以治療潰瘍，但如果保留了 Grassi 神經，這可能導致潰瘍復發。Grassi 神經負責刺激胃酸分泌，因此其保留可能會影響手術的療效，導致潰瘍的再次發生。
72,小腸細胞在哪一區段的細胞容易發現有幹細胞存在,Crypt,Villus,extrusion zone,mucus zone,A,,消化系統生理學(II)：消化道 黃烱瑋,胃空腸繞道手術是一種常見的胃引流手術，通常用於治療胃出口梗阻等情況。相較於其他胃引流手術，胃空腸繞道手術的長期併發症較少，這使其成為一個相對安全的選擇。這種手術的成功率高，且能有效改善患者的生活質量。
73,輸入環症候群 (Afferent loop syndrome) 為需要積極手術處理的腹部急症。,1+2,1+2+4,2+3,3+4,B,輸入環症候群是由於手術後腸道吻合不良或腸道阻塞所引起的急性腹痛，通常需要手術處理。,消化系統生理學(II)：消化道 黃烱瑋,輸入環症候群是指在胃腸手術後，腸道的某一部分因為吻合不良或其他原因而出現阻塞，導致腸道內容物無法正常通過。這種情況通常會引起劇烈的腹痛和其他消化不良的症狀，並且需要及時的手術介入來解決問題。
74,以下對移行性運動複合波(Migrating motor complex; MMC)敘述何者為非?,受Motilin 調控,受腸壁神經系統(Enteric nerves system)調控,受自主神經系統(Autonomic nerve system)調控,每次週期 75-90 分鐘,C,移行性運動複合波主要受腸壁神經系統調控，不受自主神經系統控制。,消化系統生理學(II)：消化道 黃烱瑋,移行性運動複合波(MMC)是腸道在空腹狀態下的規律性運動，主要由腸壁神經系統調控。這些運動有助於清除腸道內的殘留物，並促進腸道的健康。雖然自主神經系統對腸道功能有影響，但MMC的調控主要依賴於腸壁神經系統，因此選項C是錯誤的。
75,胃腺(gastric gland)細胞中下列何者分泌內在因子(intrinsic factor)?,頸黏液細胞(mucous cell),壁細胞(parietal cell),主細胞(chief cell),類嗜鉻細胞(ECL cell; enterochromaffin-like cell),B,壁細胞是分泌內在因子的主要細胞。,消化系統生理學(II)：消化道 黃烱瑋,內在因子是由胃腺中的壁細胞分泌的，這是一種對於維生素B12的吸收至關重要的物質。缺乏內在因子會導致惡性貧血，因為身體無法有效吸收維生素B12。這使得壁細胞在胃腺中扮演著重要的角色，對於維持正常的血液健康至關重要。
76,小腸細胞在哪一區段的細胞容易發現有幹細胞存在?,Crypt,Villus,extrusion zone,mucus zone,A,小腸的Crypt區段是幹細胞的主要存在區域。,消化系統生理學(II)：消化道 黃烱瑋,小腸的Crypt區段是幹細胞的主要存在區域，這些幹細胞負責小腸上皮細胞的再生和修復。這些細胞在小腸的健康和功能中扮演著關鍵角色，因為它們能夠不斷分裂並產生新的上皮細胞，以替代那些因為正常的磨損或損傷而死亡的細胞。
77,下列何者最能促進胰臟分泌富含碳酸氫根離子(HCO3－ )之胰液？,胃抑素(GIP),膽囊收縮素(CCK),胰泌素(secretin),血管活性腸胜肽(VIP),C,,消化系統生理學：消化道  黃烱瑋,胰泌素（secretin）是由十二指腸的S細胞分泌的一種激素，主要功能是促進胰臟分泌富含碳酸氫根離子（HCO3-）的胰液。當食物進入小腸，特別是酸性食物時，胰泌素的分泌會增加，這有助於中和小腸內的酸性環境，為消化酶的作用創造適宜的pH值。此外，胰泌素還能促進肝臟的膽汁分泌，進一步協助脂肪的消化。因此，選擇C作為正確答案是因為它直接與促進胰液分泌的功能相關。
78,可將胰蛋白酶原(trypsinogen)活化而成胰蛋白酶(trypsin)的是:,腸激酶(enterokinase),胰脂肪酶(pancreatic lipase),磷脂酶(phospholipase),腸核酸酶(Enteronuclease),A,,消化系統生理學：消化道  黃烱瑋,腸激酶（enterokinase）是一種重要的酶，主要在小腸的刷狀緣細胞中合成和分泌。它的主要功能是將胰蛋白酶原（trypsinogen）轉化為活性形式的胰蛋白酶（trypsin）。這一過程對於蛋白質的消化至關重要，因為胰蛋白酶是主要的蛋白質消化酶之一，能夠進一步激活其他胰腺分泌的酶。因此，選擇A作為正確答案是因為腸激酶是唯一能夠啟動這一重要消化過程的酶。
79,下列何者不是肝小葉三合體的構造？,中央靜脈,肝動脈,肝門靜脈,膽管,A,portal triad 包含三構造： (1)​肝動脈(hepatic artery) (2)​肝門靜脈(hepatic portal vein) (3)​膽管(bile duct),消化系統生理學：消化道  黃烱瑋,肝小葉三合體（portal triad）是肝臟組織中的一個重要結構，包含肝動脈、肝門靜脈和膽管。這三者共同構成了肝小葉的血液供應和膽汁排泄系統。中央靜脈則是肝小葉的中心結構，負責收集來自肝小葉的血液，並將其引導至肝靜脈。因此，選擇A作為正確答案是因為中央靜脈並不屬於肝小葉三合體的組成部分，而是肝小葉的另一個重要結構。
