id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
47,下列何者不適用於胃食道逆流?,Atropine,Ranitidine,Domperidone,Metoclopramide,A,,消化系統藥理學,,胃食道逆流病（GERD）是一種常見的消化系統疾病，治療通常包括使用抗酸劑和促進腸胃蠕動的藥物。Atropine是一種抗膽鹼藥物，會抑制腸胃蠕動，這使得它不適合用於治療胃食道逆流。相對而言，Ranitidine、Domperidone和Metoclopramide則是常用於治療胃食道逆流的藥物，因為它們能夠減少胃酸分泌或促進腸胃蠕動。因此，選擇A作為不適用於胃食道逆流的藥物。
48,下列何藥物最易導致腹瀉？,Omeprazole,Cimetidine,Nizatidine,Mg(OH)2,D,,消化系統藥理學,,Mg(OH)2是一種常用的抗酸劑，具有潤滑腸道的特性，並且能夠促進腸道蠕動，因此最容易導致腹瀉。相比之下，Omeprazole、Cimetidine和Nizatidine通常不會引起腹瀉，因為它們的作用機制主要是抑制胃酸分泌，而不是直接影響腸道運動。因此，選擇D作為最容易導致腹瀉的藥物。
49,下列何藥物最易導致子宮收縮？,Ranitidine,Omeprazole,Nizatidine,Misoprostol,D,,消化系統藥理學,,Misoprostol是一種合成的前列腺素E1類似物，廣泛用於促進子宮收縮和防止胃潰瘍。它能夠刺激子宮平滑肌，導致收縮，因此在臨床上常用於引產或治療流產。相比之下，Ranitidine、Omeprazole和Nizatidine並不會引起子宮收縮，因此選擇D作為最容易導致子宮收縮的藥物。
50,下列何藥物最易導致陽痿？,Omeprazole,Cimetidine,Nizatidine,Ranitidine,B,,消化系統藥理學,,Cimetidine是一種H2受體拮抗劑，已知會導致多種副作用，包括抗雄激素作用，這可能會導致陽痿。這是因為Cimetidine會干擾男性荷爾蒙的正常功能，進而影響性功能。相比之下，Omeprazole、Nizatidine和Ranitidine的副作用較少，且不會直接影響性功能。因此，選擇B作為最容易導致陽痿的藥物。
51,下列何者為 prodrug？,Ondansetron,Omeprazole,Nizatidine,Sodium bicarbonate,B,,消化系統藥理學,,Prodrug 是指在體內轉化為活性藥物的化合物。Omeprazole 是一種質子泵抑制劑，經過代謝後轉化為活性形式，能有效抑制胃酸分泌。相對而言，Ondansetron、Nizatidine 和 Sodium bicarbonate 不是 prodrug，因此正確答案為 B。
52,下列何者說法是錯的？,糞便白血球在病毒性胃腸炎中很常見。,大多數急性傳染性胃腸炎是病毒性的。,病毒性胃腸炎的主要途徑是糞口傳播。,呼吸道感染和病毒性胃腸炎是最常見的人類感染症。,A,,消化系統之病毒感染,,在病毒性胃腸炎中，糞便中通常不會出現白血球，因為這類感染主要是由病毒引起，並不會引發典型的炎症反應。相對而言，細菌性胃腸炎則常伴隨白血球的出現。因此，選項 A 的說法是錯誤的，正確答案為 A。
53,關於病毒性腸胃炎的發病機制，下列哪一項敘述是錯誤的？,輪狀病毒(Rotavirus) 可侵入成熟腸上皮細胞，導致吸收能力破壞並誘發腹瀉,輪狀病毒(Rotavirus) 可產生 NSP4，透過隱窩細胞(crypt cells)鈣依賴性跨上皮氯化物分泌引起分泌性腹瀉,諾羅病毒(Norovirus) 可感染空腸上皮，誘發細胞損傷、隱窩細胞增生和發炎反應，引起腹瀉,陰性岩藻糖基轉移酶 2 基因控制分泌者，感染諾羅病毒(Norovirus）患者會出現嚴重嘔吐。,D,,消化系統之病毒感染,,病毒性腸胃炎的發病機制主要涉及病毒對腸道上皮細胞的感染和損傷。輪狀病毒和諾羅病毒的感染機制已被廣泛研究，選項 D 中提到的陰性岩藻糖基轉移酶 2 基因與病毒感染的關聯性並不明確，因此這一敘述是錯誤的，正確答案為 D。
54,請問上圖切片取自何種器官?,Colon,Duodenum,Esophagus,Stomach,A,,消化系統組織學實驗(I),,根據切片的上皮特徵，可以排除食道和小腸的可能性。大腸的腺體結構和上皮特徵符合切片的觀察，因此可以確定該切片來自大腸。這樣的分析有助於理解不同消化道器官的組織結構及其功能，正確答案為 A。
55,請問上圖切片取自何種器官?,Colon,Duodenum,Ileum,Stomach,D,,消化系統組織學實驗(I),,切片中可見的 gastric pit 是胃的特徵，這表明該切片來自胃部。胃的組織結構與其他消化道器官有明顯的區別，特別是在腺體的排列和形狀上。這些特徵有助於醫學專業人員在診斷和研究中識別不同的消化器官，正確答案為 D。
56,請問上圖切片取自何種器官?,Pancreas,Jejunum,Gallbladder,Liver,D,,消化系統組織學實驗(II),,根據切片的特徵，尤其是肝臟的組織結構，這表明該切片來自肝臟。肝臟的組織學特徵與其他器官如胰臟和膽囊有明顯的區別，這些特徵在組織學研究中至關重要。正確答案為 D。
57,請問上圖切片取自何種器官?,Jejunum,Duodenum,Colon,Stomach,A,,消化系統組織學實驗(I),,切片中顯示的簡單柱狀上皮和長絨毛特徵明顯，這是空腸的典型特徵。這些組織學特徵有助於識別消化道的不同部分，並理解其功能。正確答案為 A。
58,關於幽門螺旋桿菌的檢查，下列何者為非?,碳 13 尿素呼氣法對於早期追蹤很有用,治療幽門螺旋桿菌 1-2 周內用快速尿素酶試驗追蹤治療效果，有出現偽陰性風險,血清檢測常用於監測治療成功與否,快速尿素酶試驗變成紅色代表陽性，乃因為酸鹼度變化,C,,消化性潰瘍及幽門螺旋桿菌,,幽門螺旋桿菌（H. pylori）是一種與多種消化系統疾病相關的細菌，包括消化性潰瘍和胃癌。檢查H. pylori的方式有多種，其中碳13尿素呼氣法是一種非侵入性且準確的檢測方法，適合早期追蹤。快速尿素酶試驗則是用於治療後的效果評估，但在治療初期可能會出現偽陰性，因為細菌數量可能尚未降低到可檢測的水平。血清檢測則常用於評估治療的成功與否。選項C的正確性在於它是常用的監測方法，因此選擇C作為非正確答案。
59,下列用來治療消化性潰瘍的藥物主要機制並非提高胃中的 pH 值?,Sucralfate,Proton pump inhibitors,𝐻2-receptor antagonists,anticholinergics,A,,消化性潰瘍及幽門螺旋桿菌,,消化性潰瘍的治療通常涉及減少胃酸的分泌，以促進潰瘍的癒合。選項B（質子泵抑制劑）和選項C（H2受體拮抗劑）都是通過減少胃酸分泌來提高胃內pH值的藥物。選項D（抗膽鹼藥物）也有助於減少胃酸的分泌。相對而言，Sucralfate的主要作用是形成保護膜以覆蓋潰瘍，並不直接提高胃中的pH值，因此選擇A作為正確答案。
60,闌尾（appendix）最常見的腺體腫瘤為：,神經內分泌腫瘤（neuroendocrine neoplasm）,乳突狀腺癌（papillary adenocarcinoma）,杯狀細胞腺癌（goblet cell adenocarcinoma）,低度黏液性腫瘤（low grade mucinous neoplasm）,D,,消化道病理學(II),,闌尾的腺體腫瘤主要包括低度黏液性腫瘤，這是一種相對常見的腫瘤類型。這類腫瘤通常生長緩慢，且在早期可能無明顯症狀。其他選項如神經內分泌腫瘤和乳突狀腺癌雖然也可能出現，但相對於低度黏液性腫瘤而言，發生率較低。因此，選擇D作為正確答案。
61,下列基因的變異，何者與家族性結直腸瘜肉綜合症（familial adenomatous polyposis 1）最有關？,APC,AXIN2,MSH6,WT1,A,,消化道病理學(II),,家族性結直腸瘜肉綜合症（FAP）是一種遺傳性疾病，主要由APC基因的突變引起。APC基因的功能是抑制腫瘤的形成，當其發生突變時，會導致腸道內形成多個腺瘤，最終可能演變為結腸癌。其他選項如AXIN2、MSH6和WT1雖然與其他腫瘤或遺傳疾病有關，但與FAP的關聯性不如APC明顯。因此，選擇A作為正確答案。
62,"腸胃道基質瘤(gastrointestinal stromal tumor, GIST)第一常見的突變基因是:",PDGFRA,c-KIT,BRAF,Her2/Neu,B,,消化道病理學(II),,腸胃道基質瘤（GIST）是一種起源於腸道間質細胞的腫瘤，最常見的基因突變是c-KIT基因的突變，約佔75-80%的病例。c-KIT基因編碼一種受體酪氨酸激酶，對於細胞增殖和存活至關重要。雖然PDGFRA基因的突變也會導致GIST，但其發生率較低，約為8%。因此，選擇B作為正確答案。
63,Whipple’s disease 最重要的病理特徵是?,mucosal and intraepithelial neutrophil infiltrates,caseating granuloma,foamy macrophages in the small intestinal lamina propria,ulcer,C,,消化道病理學(II),,Whipple病是一種罕見的全身性疾病，主要由Tropheryma whipplei細菌引起。其最重要的病理特徵是小腸黏膜下層出現泡沫巨噬細胞，這些巨噬細胞內含有脂肪顆粒，導致腸道吸收不良。這些泡沫巨噬細胞的存在是診斷Whipple病的關鍵指標。其他選項如肉芽腫和潰瘍雖然可能出現，但並不是Whipple病的主要特徵。因此，選擇C作為正確答案。
64,根據消化生理實驗課的影片，當腸道平滑肌處於 pH=5 環境後，再調回 pH=7 時，請問會發生何種變化？,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會緩緩地往下掉,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會保持停住,D,,消化系統生理學實驗(與臨床結合),,腸道平滑肌的收縮受到多種因素的影響，包括pH值的變化。在pH=5的環境中，平滑肌的收縮能力可能受到抑制，當pH值調回到7時，肌肉的收縮紀錄筆會保持在停住的狀態，這表明肌肉尚未恢復到正常的收縮狀態。這種現象可能與平滑肌的生理特性有關，顯示出pH值對腸道平滑肌功能的重要影響。因此，選擇D作為正確答案。
65,根據消化生理實驗課的影片，當腸道平滑肌處於無鈣環境時，請問會發生何種變化?,肌肉收縮的紀錄筆會立刻掉至最低處,肌肉收縮的紀錄筆會立刻停住,肌肉收縮的紀錄筆正常擺動,肌肉收縮的紀錄筆會緩緩地往下掉,A,,消化系統生理學實驗(與臨床結合),,鈣離子在平滑肌的收縮過程中扮演著關鍵角色。當腸道平滑肌處於無鈣環境時，肌肉的收縮能力會受到嚴重影響，導致肌肉無法正常收縮，紀錄筆會立刻掉至最低處，顯示出肌肉的活動性幾乎消失。這一現象強調了鈣離子在平滑肌收縮中的重要性，並且在實驗中觀察到的結果與生理學的基本原則相符。因此，選擇A作為正確答案。
66,根據消化生理實驗課的影片，請問當腸道處於何種實驗條件的切換之後，可以快速地恢復？,有鈣/無鈣,有氧/無氧,5℃/35℃,前述皆可,D,,消化系統生理學實驗(與臨床結合),,在消化生理實驗中，腸道平滑肌的功能受到多種環境因素的影響。當環境條件如鈣的存在與否、有氧與無氧、以及溫度的變化時，平滑肌的功能可以迅速恢復。這是因為這些因素直接影響肌肉的生理狀態和代謝過程。相對於pH值的變化，這些條件的切換能夠迅速調整肌肉的活動性，因此選擇D作為正確答案。
67,根據消化生理實驗課的影片，請問何種實驗條件會使肌肉張力下降？,給予 Epinephrine 時,25℃至 35℃時,給予 Acetylcholine 時,給予 Atropine 時,B,,消化系統生理學實驗(與臨床結合),,肌肉的張力受到多種因素的影響，包括溫度和神經傳導物質的作用。在25℃至35℃的溫度範圍內，肌肉的張力會隨著溫度的升高而下降，這是因為高溫可能導致肌肉的代謝速率增加，從而影響其收縮能力。相對於其他選項，Epinephrine和Acetylcholine通常會增加肌肉的張力，而Atropine則對肌肉的影響較小。因此，選擇B作為正確答案。
68,, 1+2, 1+2+4,2+3, 3+4,D,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,Linitis plastica (皮革胃) 通常治療預後極差。,1+2,1+2+4,2+3,3+4,D,,消化系統生理學(II)：肝、膽、胰,,Linitis plastica是一種特殊類型的胃癌，其特徵是胃壁的廣泛浸潤，導致胃的硬化和變形，這使得其在診斷和治療上都非常具有挑戰性。由於腫瘤的擴散性和侵襲性，Linitis plastica的預後通常較差，患者的生存率相對較低。治療上，這類患者可能需要更為積極的手術和輔助治療，但即使如此，治療效果仍然不理想。因此，對於Linitis plastica患者的管理需要多學科的合作，並且應該在早期進行診斷和介入，以期改善預後。
72,小腸細胞在哪一區段的細胞容易發現有幹細胞存在,Crypt,Villus,extrusion zone,mucus zone,A,,消化系統生理學(II)：肝、膽、胰,,
73,下列何者最能促進胰臟分泌富含碳酸氫根離子(HCO3－ )之胰液？,(A) 胃抑素(GIP),(B) 膽囊收縮素(CCK),(C) 胰泌素(secretin),(D) 血管活性腸胜肽(VIP),C,,消化系統生理學(II)：肝、膽、胰,,
74,可將胰蛋白酶原(trypsinogen)活化而成胰蛋白酶(trypsin)的是:,腸激酶(enterokinase),胰脂肪酶(pancreatic lipase),磷脂酶(phospholipase),腸核酸酶(Enteronuclease),A,,消化系統生理學(II)：肝、膽、胰,,胰蛋白酶原（trypsinogen）是一種由胰腺分泌的酶前體，必須經過活化才能發揮其消化功能。腸激酶（enterokinase）是位於小腸上皮細胞表面的酶，能夠將胰蛋白酶原轉化為活性形式的胰蛋白酶（trypsin）。這一過程對於蛋白質的消化至關重要，因為胰蛋白酶能夠進一步激活其他胰腺分泌的酶，形成一個酶的活化鏈反應，從而有效地消化食物中的蛋白質。其他選項如胰脂肪酶、磷脂酶和腸核酸酶並不參與胰蛋白酶原的活化過程，因此正確答案為腸激酶。
75,下列何者不是肝小葉三合體的構造？,中央靜脈,肝動脈,肝門靜脈,膽管,A,,消化系統生理學(II)：肝、膽、胰,,肝小葉是肝臟的基本結構單位，肝小葉三合體（portal triad）由肝動脈、肝門靜脈和膽管組成。肝動脈負責供應肝臟氧血，而肝門靜脈則將來自腸道的營養血液帶入肝臟進行代謝。膽管則負責運輸肝臟分泌的膽汁。中央靜脈則位於肝小葉的中心，並不屬於三合體的結構，因此選擇中央靜脈作為答案。了解肝小葉的結構對於理解肝臟的功能及其在代謝過程中的角色至關重要。
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,下列何者最能促進胰臟分泌富含碳酸氫根離子(HCO3－ )之胰液？,,,,,,,,,
,(A) 胃抑素(GIP),,,,,,,,,
,(B) 膽囊收縮素(CCK),,,,,,,,,
,(C) 胰泌素(secretin),,,,,,,,,
,(D) 血管活性腸胜肽(VIP),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,關於胃癌的描述下列何者為是？,,,,,,,,,
,1. 遠端胃癌患者接受全胃切除手術(total gastrectomy)，不管是預後或,,,,,,,,,
,生活品質都優於接受次全胃切除手術(subtotal gastrectomy)者。,,,,,,,,,
,2. Roux-en-Y 重建方式只需要做一個位置的吻合，而 Billroth II 重建方式,,,,,,,,,
,則需要做兩個位置的吻合。,,,,,,,,,
,3. 不管腫瘤位置在何處，位於左胃動脈的淋巴結都是屬於第二群(group 2)的,,,,,,,,,
,淋巴結。,,,,,,,,,
,4. Linitis plastica (皮革胃) 通常治療預後極差。,,,,,,,,,
,(A) 1+2,,,,,,,,,
,(B) 1+2+4,,,,,,,,,
,(C) 2+3,,,,,,,,,
,(D) 3+4,,,,,,,,,
