id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
73,The key for management of neck and low back pain to find out pain generators. Which is not the potential pain generator of neck and lower back problems?,Bone,Ligament,Cartilage,,C,疼痛來源無cartilage,骨科復健學,李佳玲,
74,"To control pain and inflammation under neck and lower back problems, which method is not suggested?",Bed rest till pain is gone,Oral medication,Exercise after acute stage,Manual therapy with massage,A,,骨科復健學,李佳玲,
75,The pressure over disc changes in different positions. In which position the disk will suffer from the least pressure?,Side lying,Supine lying,Standing,Sitting,B,椎間盤受到的壓力 Sitting > Standing > Side lying > Supine lying ，特別注意壓力坐大於站。,骨科復健學,李佳玲,
76,Which structure can make osteocytes exchange material with the extracellular matrix?,tight junction,adhering junction,hemichannel,gap junction,C,,骨骼組織學,施耀翔,
77,Which statement is correct about osteoclasts?,Can be found in Howship's lacunae,Single nucleus,Flatten shape of the nucleus,Developing from mesenchymal stem cells,A,(B) 錯，是多核 (C) 錯，不是flatten (D) 錯，是mononuclear hemopoietic progenitor cells,骨骼組織學,施耀翔,
78,The secondary ossification center of long bone is localized in________.,diaphysis,epiphysis,metaphysis,endosteum,B,,骨骼組織學,施耀翔,
79,Which statement about cartilage is correct?,Elastic cartilage containing elastic fiber without any aggrecan protein.,The major type of collagen fiber is type II in hyaline cartilage.,The major type of collagen fiber is type II in fibrocartilage.,The major component of the extracellular matrix in all types of cartilage is collagen fiber.,B,(A) 彈性軟骨(elastic cartilage)，有彈性纖維(elastic fiber) 和蛋白聚糖(aggrecan) protein (B) 透明軟骨(hyaline cartilage)中的膠原纖維，主要為第二型 (C) 纖維軟骨(fibrocartilage)中的膠原纖維，主要為第一型 (D) 三種軟骨的胞外間質(extracellular matrix)的組成中，皆以水分所占比例為最高,骨骼組織學,施耀翔,
80,Which of the following laryngeal cartilages does not have the structure of elastic cartilage?,Cricoid cartilage,Thyroid cartilage,Epiglottic cartilage,Arytenoid cartilage,A,"Cricoid cartilage does not contain elastic cartilage. It is made up of hyaline cartilage. Furthermore, it's a complete and signet ring-shaped cartilage which is situated below the thyroid cartilage.",骨骼組織學,施耀翔,
81,Which of the following is a characteristic of hyaline cartilage?,Can be found in the ear,Avascular,Concentric lamellae,Developed from mesenchymal stem cell,B,(A) Elastic cartilage(彈性軟骨)比較會出現在耳朵附近的構造，例如external ear/ walls of the external acoustic meatus (外耳/外耳道壁)、auditory (Eustachian) tube(耳咽管)、 epiglottis (會厭軟骨) of the larynx  (B) 軟骨是一種無血管組織；胞外間質密實穩固，但同時也柔韌，造成其具有彈性。由軟骨細胞(chondrocytes)和大量分佈的胞外間質(extracellular matrix)組成 →選項正確  (C) Concentric lamellae 出現在corticol bone非hyaline cartilage (D) Hyaline cartilage主要由Chondrocyte組成，而Chondrocyte來自於neural crest cells(神經脊細胞)  分化過程如下：neural crest cells(神經脊細胞)→ ectomesenchyme(外胚層間質)  →chondrogenic nodule→ chondroblasts →Chondrocyte  （在軟骨節節形成軟骨母細胞的過程中，會受到SOX9 的轉錄因子調節）,骨骼組織學,施耀翔,"Hyaline cartilage is characterized as avascular, meaning it lacks blood vessels. This is a key feature that distinguishes it from other types of cartilage, such as elastic cartilage, which can be found in the ear. Therefore, the correct answer is B."
82,"Drugs that act on the central nervous system to induce skeletal muscle relaxation include the following drugs, except which one?",Central alpha-2 agonists,Depolarizing muscle relaxants,Tricyclic antidepressants,Antihistamines,B,Depolarizing agents 是 peripheral acting drug,肌肉鬆弛劑之藥理學,程廣義,"Depolarizing muscle relaxants act peripherally rather than centrally, which is why they are not included among the drugs that induce skeletal muscle relaxation via central nervous system action. Thus, the correct answer is B."
83,Botox (Clostridium botulinum) acting which of the following to induce muscle relaxation?,Gamma-aminobutyric acid(GABA) type B receptor,Snare protein,Muscarinic receptors,Ligand-gated sodium channels,B,肉毒桿菌毒素會透過裂解snare protein 導致囊泡無法釋放Ach,肌肉鬆弛劑之藥理學,程廣義,"Botox works by cleaving snare proteins, which prevents the release of acetylcholine (Ach) at the neuromuscular junction, leading to muscle relaxation. Therefore, the correct answer is B."
84,"Characteristics of muscle pain, relative to cutaneous pain, include all of the following except",Poorly localized,Burning and cutting,Easily pain referral,Difficult to tolerate,B,"由表格可以看到muscle pain是tearing, cramping, pressing quality；cutaneous pain才是 Burning and cutting。",肌肉鬆弛劑之藥理學,程廣義,"Muscle pain is typically described as tearing, cramping, or pressing, whereas burning and cutting sensations are characteristic of cutaneous pain. Thus, the correct answer is B."
85,Which of the following descriptions about achondroplasia is correct?,"The issue arises from the fourth pair of chromosomes, and it follows an autosomal dominant inheritance pattern.","Typically, patients have short limbs while spinal length is normal.",Patients lack normal membranous ossification during bone development.,It is associated with activating mutations in the FGFR3 gene.,C,(A)和(B)  (C)  (D),肌肉骨骼病理學(1),陳建亨,"Achondroplasia is characterized by a lack of normal membranous ossification during bone development, which leads to the typical skeletal features of the condition. Therefore, the correct answer is C."
86,Which of the following descriptions about osteopetrosis is incorrect?,"Patients have bones as hard as marble, which makes them less prone to fractures.",The main course is the inability to generate osteoclasts or the loss of bone resorption ability in generated osteoclasts.,"In addition to skeletal abnormalities, patients often exhibit conditions such as cranial nerve paralysis, recurrent bacterial infections, or hepatosplenomegaly.",Patients can undergo hematopoietic stem cell transplantation for treatment.,A,(A) 骨頭脆弱容易骨折,肌肉骨骼病理學(1),陳建亨,"While osteopetrosis results in abnormally dense bones, these bones are actually more brittle and prone to fractures, contrary to the statement in option A. Therefore, the correct answer is A."
87,Which of the following descriptions about osteogenesis imperfecta is incorrect?,Patients cannot produce normal type I collagen.,"Mutations in the 17q21.3-q22 region, COL1A1 gene, and 7q21.3-q22 region, COL1A2 genes are associated with the condition.",It follows an autosomal dominant inheritance pattern and can be categorized into four types.,"Due to the lack of normal type I collagen, patients' irises may exhibit Lisch nodules.",D,玻璃娃娃眼睛會出現的是藍鞏膜(blue sclerae) 虹膜色素缺陷瘤(Lisch nodules)常見於I型神經纖維瘤病-課外知識 from wiki,肌肉骨骼病理學(1),陳建亨,"Lisch nodules are associated with neurofibromatosis type I, not osteogenesis imperfecta. Patients with osteogenesis imperfecta typically exhibit blue sclerae due to the lack of normal type I collagen. Therefore, the correct answer is D."
88,Which of the following descriptions about fractures is most appropriate?,Stress fractures often occur in weight-bearing bones of the feet.,Fractures resulting from bone weakening due to disease are termed pathological fractures.,"After approximately six weeks, the fracture site will show a complete meshwork of woven bone.","All of the above descriptions (a, b, c) are correct.",D,"(A) Stress fracture:壓力性骨折，骨骼因長時間受力而過於疲勞、裂開。常見於 metatarsals, tibia, navicular。容易發生於軍人、運動員。 (B) 骨頭被疾病破壞(如:代謝性疾病造成的骨質疏鬆)，使得骨頭強度較正常情況脆弱，只要稍加施力時便會骨折，此情形便稱為pathological fractures (C)",肌肉骨骼病理學(1),陳建亨,"All the statements regarding fractures are accurate: stress fractures occur in weight-bearing bones, pathological fractures result from weakened bones due to disease, and the healing process typically shows woven bone after about six weeks. Therefore, the correct answer is D."
89,Which of the following statements about osteonecrosis (avascular necrosis) is incorrect?,It is mostly caused by infections.,"It is associated with trauma, alcohol abuse, or steroid use.","In patients with prolonged alcohol abuse, osteonecrosis often occurs in the femoral head.","Osteonecrosis typically first affects the medullary bone, sparing the overlying cortical bone and cartilage cap temporarily due to differences in blood supply.",A,"造成骨壞死男性常見原因為喝酒,女性常見原因為自體免疫疾病。",肌肉骨骼病理學(1),陳建亨,"Osteonecrosis is primarily associated with factors such as trauma, alcohol abuse, and steroid use, rather than infections. Therefore, the statement in option A is incorrect, making it the correct answer."
90,Which of the following descriptions about osteomyelitis is incorrect?,It is caused by bacterial infections either through direct exposure or bloodstream transmission.,"In children, it often occurs near the knee joint, while in adults, it's more common in the feet.",Osteomyclitis near the metaphysis of long bones in 5-10-ycar-old children is often caused by common E. coli bacteria.,"Osteomyelitis can occur in the maxillary and mandible bones, often related to poor oral hygiene and dental caries.",C,,肌肉骨骼病理學(1),陳建亨,"Osteomyelitis in children is typically caused by Staphylococcus aureus or Streptococcus species, not E. coli. Therefore, the statement in option C is incorrect, making it the correct answer."
