id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category
47,"有關腸缺乏神經節細胞(巨結腸症)之大腸敘述,下列何者正確?","(A)若於新生兒時期發病,臨床表現包括超過48小時未解胎便並合併腹脹","(B)鋇劑大腸攝影檢查可呈現異常擴張巨大結腸的部位,就是無神經節細胞的腸道,必須手術切除","(C)罹病幼兒會出現解便疼痛甚至出血,常見憋便(withholding)甚至發生遺便(fecal soiling)現象",(D)腹部超音波檢查出現典型的標靶病灶 (target lesion),A,(A)正確。(B)大腸攝影檢查中，窄縮成過渡帶（Transitional zone）的下游腸道才是缺乏神經節之病灶處；上游巨大擴張的部分是正常且努力想把糞便推過去的腸道。(C)此為功能性便秘表現。(D)標靶病灶為腸套疊表徵。,巨結腸症(Hirschsprung disease) 施相宏
48,"有關食道疾患與其相關評估檢查,下列的配對何者最不適當?","(A)若懷疑病患有食道狭窄(esophageal stenosis),可先安排食道攝影(esophagogram)檢查,但要注意相關 left main bronchus, upper esophagus-cricopharyngeal sphincter 和 diaphragm level 等解剖狹窄處","(B)可安排食道胃鏡來排除有無腫瘤順便採取檢體外,施作時應注意有無食道手術之病史以防穿孔","(C)若平常生活中有抽菸、喝酒和嚼食檳榔習慣,且又合併體重減輕與漸進式吞嚥困難,則大概可以先臆測食道鱗狀細胞癌之高度可能性","(D)食道壓力測定 (esophageal manometry)可以用來診斷偵測食道蠕動異常疾病(esophageal motility disorder), achalasia 常呈現 aperistalsis 和 incomplete lower esophageal sphincter relaxation 之情形",A,食道的 3 處正常生理與解剖狹窄（anatomic narrowings）分別為：1. Cervical constriction (環狀軟骨下緣/UES，約C6高度)；2. Thoracic constriction (由 Aortic arch 與 left main bronchus 壓迫造成，約T4-T5高度)；3. Diaphragmatic constriction (穿過橫膈膜裂孔/LES處，約T10高度)。選項敘述混淆了壓迫構造與位置配對。,食道疾病 張博智
49,"有關食道疾患與其相關治療,下列的配對何者最不適當?",(A)refractory reflux esophagitis (藥物治療無效的已確診胃食道逆流)- laparoscopic Nissen fundoplication,(B)achalasia with megaesophagus - laparoscopic Heller myotomy + Dor fundoplication,(C)T3N2M0 cervical esophageal squamous cell carcinoma - direct Ivor-Lewis esophagectomy and reconstruction without following chemoradiotherapy,(D)epiphrenic diverticulum - laparoscopic diverticulectomy,C,依據 NCCN 指南，食道癌分期只要達到 T2 以上、或有區域淋巴結轉移（LN +，如本題 N2），標準首選一線處置必須先進行前導性同步化放療（Neoadjuvant CCRT），之後再評估手術，而非直接安排手術。,食道疾病 張博智
50,"以下哪些關於腹部影像的陳述,下列描述何者為誤?",(A)直腸(rectum)是腹膜外間隙(extraperitoneal space)的器官,(B)The middle hepatic vein 將肝臟分為左、右肝葉,(C)胰腺分裂(pancreas divisum)可以分為complete 和 incomplete,(D)在膽囊左側的肝臟是 segment 5,D,在解剖構造與影像分葉上，位於膽囊左側的肝臟微細分區構造屬於 Segment 4b，而非 Segment 5。,腹部影像解剖學 陳巧雲
51,"與虛擬胃鏡檢查相比,關於常規胃鏡檢查的優點,下列描述何者為誤?",(A)Measure the size,(B)Adequate color change,(C)No radiation exposure,(D)Can obtain samples,A,虛擬胃鏡（利用CT/影像重組）的優點包含非侵入性、視野寬廣以及能夠較為精準地「測量病灶大小(Measure the size)」。而常規常規光學胃鏡的優點則是能即時觀察黏膜顏色變化（color change）、無輻射暴露、且能做切片病理採樣（obtain samples）。故常規胃鏡「不能」精準測量立體大小是其相較之下的限制。,腹部影像解剖學 陳巧雲
52,"關於胃潰瘍(gastric ulcer),下列描述何者為誤?",(A)Carman-Kirklin Complex 診斷為惡性潰瘍,(B)Hampton' s line 診斷為良性潰瘍,(C)Ulcer size 大於五公分診斷為惡性潰瘍,(D)Project line beyond the gastric wall 診斷為良性潰瘍,C,依據影像診斷鑑別診斷原則（HALPERT and GOODMAN），潰瘍的絕對大小（Ulcer size）並「不能」單獨拿來作為區分良性或惡性胃潰瘍的硬性依據。,消化系統影像學:胃腸系統疾病診斷 陳巧雲
53,"關於克隆氏症(Crohn's disease),下列描述何者為誤?",(A)It is a chronic granulomatous inflammatory disease with a tendency toward remission and relapse,(B)Rectum involved in all the cases,(C)Malignant change is uncommon,"(D)It can affect any part of the Gl tract, often involving multiple discontinuous sites",B,"克隆氏症（Crohn's disease）具有跳躍性病灶（Skip area）與非連續性慢性發炎特徵，可侵犯由口到肛門的任何消化道。相比之下，100% 必然會侵犯並直腸（Rectum involved in all cases）的疾病是潰瘍性結腸炎（Ulcerative colitis, UC）。",消化系統影像學:胃腸系統疾病診斷 陳巧雲
54,"下列針對不同基因型C型肝炎病毒感染,全口服藥物治療之選擇評估,何者為非?",(A)Glicaprevir / Pibrentasvir 針對第1~6型C型肝炎病毒都有效,(B)Glicaprevir / Pibrentasvir 只針對第1和3型C型肝炎病毒有效,(C)Sofosbuvir / Velpatasvir 針對第1~6型C型肝炎病毒都有效,(D)Sofosbuvir/ Velpatasvir/ Voxilaprevir 針對第1~6型C型肝炎病毒且曾接受含 NS5A 抑制劑治療失敗者有效,B,現行的主要一線C肝全口服藥物如 Glecaprevir/Pibrentasvir (Mavyret) 以及 Sofosbuvir/Velpatasvir (Epclusa) 均屬於「全基因型（Pangenotypic）」藥物，對於第 1 到第 6 型C肝病毒都完全有效。,病毒性肝炎(I) 張庭遠
55,下列有關E型肝炎病毒感染的描述何者錯誤?,(A)經由血液傳染,(B)自限性疾病(self-limited),(C)孕婦有高嚴重肝病風險,(D)可能經由胎盤傳染給胎兒,A,E型肝炎（與A型肝炎相同）主要是透過粪口途徑、經口飲食傳染（Fecal-oral route），而非主由血液傳染。其對於孕婦具有極高的猛暴性肝衰竭與嚴重死亡風險（約20%）。,病毒性肝炎(I) 張庭遠
56,"接受免疫抑制藥物或化學藥物治療患者,為預防B型肝炎病毒復發,初步應執行哪些檢測?",(A)表面抗原 HBsAg,(B)核心抗體 HBcAb IgG,(C)表面抗體 HBsAb,(D)以上皆是,D,要精確、全面地界定高風險患者在接受化療/免疫抑制劑時的 B 肝再活化（Reactivation）風險，必須同步檢測 HBsAg、HBsAb 以及 IgG anti-HBc 這三項指標。,病毒性肝炎(I) 張庭遠
57,"有關D型肝炎病毒感染,下列描述何者為錯誤?",(A)重複感染(superinfection)發生於B型肝炎病毒感染後,"(B)同時感染(coinfection)患者出現兩個丙胺酸轉胺酶(Alanine transaminase, ALT)高峰(peak),第二個高峰代表B肝病毒肝炎高峰",(C)重複感染(superinfection)患者較同時感染(coinfection)患者有肝硬化風險,(D)靜脈藥物毒癮者是感染高風險族群,B,在 HDV 與 HBV「同時感染（Coinfection）」的臨床表現中，常會觀察到 ALT 出現雙峰（Double peak）。其中，第一個高峰是由於 HBV 急性發炎引起，第二個高峰則是隨後 HDV 建立感染建立後引發的高峰。,病毒性肝炎(I) 張庭遠
58,"理學檢查在外科診斷中占有極大的角色,對於這名患者羅戈佐夫的症狀（上腹悶痛轉移至右下腹）,你認為以下那項理學檢查可能為陰性?",(A)McBurney's point.,(B)Murphy's sign.,(C)Rovsing's sign.,(D)Obturator sign.,B,由「上腹痛伴隨噁心、後轉移至右下腹固定痛」可明確診斷這名極地醫生罹患的是急性闌尾炎。McBurney、Rovsing 及 Obturator 均為闌尾炎檢查特異徵象。而 Murphy's sign 為急性膽囊炎的特異性指標，在此個案中應為陰性。,急性闌尾炎、大腸傷害及腸系膜疾病 陳彥成
59,"對於羅戈佐夫（急性闌尾炎個案）的進一步處置,下列敘述何者不適當?","(A)若基地站有簡易生化分析設備,可抽血檢驗血球數值(Complete Blood Count)和發炎指數(C reactive protein),以協助診斷。","(B)基地站並無電腦斷層設備,但若有X光機或超音波設備,應可協助診斷。","(C)保守治療如抗生素或退燒藥物等,在此狀況下完全沒有效果,不可能單靠藥物治療緩解病症。","(D)應積極考慮手術介入治療,移除發炎感染病灶。",C,「保守治療完全沒有效果」這句話太過絕對。在極地極端環境下，抗生素及冰敷支持療法雖然無法根治闌尾發炎或避免後續穿孔，但能有限度地控制感染擴散、緩解部分全身性症狀，並不能判定為完全無效。標準根治處置仍首選闌尾切除術。,急性闌尾炎、大腸傷害及腸系膜疾病 陳彥成
60,"有關術前闌尾切除傳統開腹式手術的定位準備,下列敘述何者為非?","(A)若術前 McBurney's point 為陽性,在打開右下腹壁後,預期在傷口下翻找,可以發現病灶","(B)若術前 Obturator sign 為陽性,在打開右下腹壁後,要嘗試往骨盆腔方向翻找病灶。","(C)若術前 Psoas sign為陽性,在打開右下腹壁後,要嘗試往 Cecum 後側翻找病灶。","(D)在此極地特殊環境,雖為傳統手術,但要盡可能縮小傷口範圍,以利止血並降低傷口感染機率。",送分,本題經學生提出申覆後判定送分。在傳統開腹開放式手術中，過度盲目地縮小手術切口會嚴重壓縮手術視野（Surgical field）並大幅拉高觸覺盲操的複雜度與危險性，尤其是在無專業助手协助的自體手術環境下。,急性闌尾炎、大腸傷害及腸系膜疾病 陳彥成
61,"極地醫生術中發現闌尾腫脹破裂,周邊合併些許骯髒膿水,雖然順利的移除了發炎病灶,關於術後照護處置,下列何者較不適當?","(A)泡製抗生素生理食鹽水,針對病灶周圍腹腔做灌洗。","(B)在腹腔內放置引流管,引流殘餘膿水避免形成膿瘍。","(C)關閉腹部傷口時,逐層縫合腹壁及皮下組織,並使用可吸收的線材搭配美容針法緊密閉合皮膚,減少張力避免傷口開裂,也維持美觀。","(D)以抗生素生理食鹽水灌洗傷口,並在皮下埋入引流管,引流傷口滲液,避免皮膚下膿瘍發生。",C,在闌尾已穿孔且腹腔嚴重污染（汙染性/骯髒傷口）的極端受限狀況下，外科照護核心原則是防範嚴重化膿性感染與殘留膿瘍。此時不應一線使用美容針法緊密縫合皮膚，以免將細菌鎖在皮下引發惡性蜂窩性組織炎或敗血症。,急性闌尾炎、大腸傷害及腸系膜疾病 陳彥成
62,"下列有關腹部超音波影像特徵的描述,何者為非?","(A)在超音波檢查中,肝囊泡(liver simple cyst)在影像上呈現為「黑色」(無回音區, anechoic)且伴隨後方增強(posterior enhancement)現象","(B)在腹部超音波檢查中,一位病人的肝臟病灶呈現「中央疤痕(central scar)」的影像特徵,病灶為實質性(solid),最可能的診斷為局灶性結節性增生(Focal nodular hyperplasia, FNH)","(C)一位患有右心衰竭無肝硬化的病人肝功能異常,接受腹部超音波檢查,發現下腔靜脈(IVC)及肝靜脈(HV)擴張,最支持鬱血性肝病(congestive liver)的診斷",(D)瀰漫型肝癌(Diffuse type hepatocellular carcinoma)在明顯肝硬化的背景下很容易診斷與區別,D,瀰漫型肝癌（Diffuse type HCC）其邊界模糊極不清晰，在原本就有粗糙、高回音且結節滿布的嚴重肝硬化背景下，影像上「非常困難」被直接界定與區分。,消化系超音波學 王志文
63,"下列有關超音波影像描述與診斷配對,何者正確?",(A)膽囊腺肌增生症(adenomyomatosis) 常見 comet tail sign 與 Rokitansky-Aschoff sinus 相關。Porcelain gallbladder 會呈現高回音弧形結構伴隨後方增強,"(B)Segment VII 是位於右葉後上方(Right posterior superior);在超音波檢查中,若發現病灶靠近膽囊,最有可能侵犯 Segment V。","(C)慢性胰臟炎在超音波上通常顯示胰臟腫大且呈低回音,急性胰臟炎的超音波影像總是顯示鈣化與主胰管擴張",(D)B-mode 是利用連續波(continuous wave)產生多普勒圖像的模式。混響假影(reverberation artifact) 空氣反覆反射聲波形成多重回音與髒亂陰影。,B,(B)正確，解剖學上靠近膽囊床（Gallbladder fossa）的肝臟微細分區為 Segment V。(A)瓷質膽囊（Porcelain GB）壁內佈滿鈣化，超音波下會阻擋聲波，後方會形成強烈的「聲影（Acoustic shadow）」，而非後方增強。(C)配對前後顛倒，急性胰臟炎多為瀰漫腫大與低回音；慢性胰臟炎才會看到鈣化點與胰管擴張。(D)B-mode (Brightness mode) 是亮度調變二維黑白實時顯像模式。,消化系超音波學 王志文
64,下列何項檢查提供了有關疾病「代謝(Metabolism)」與解剖構造的訊息?,(A)X光,(B)電腦斷層,(C)磁振造影,(D)氟-18去氧葡萄糖(FDG)正子射出斷層掃描,D,氟-18去氧葡萄糖（18F-FDG）正子射出斷層掃描（PET），能經由腫瘤對葡萄糖的高局部攝取率，同步提供人體病灶內精確的「細胞糖類代謝活躍度」與解剖學構造交疊資訊。,消化系統(肝膽胰)放射線學 郭禹廷
65,"門診懷疑肝膽系統疾病,最常使用的「第一項」影像檢查是下列何者?",(A)磁振造影,(B)電腦斷層,(C)超音波,(D)腹部X光,C,在肝膽胰外科與內科門診中，評估肝膽疾病的第一線首選最核心影像檢查永遠是「腹部超音波（Ultrasonography）」，其具備非侵入性、無輻射、高經濟效益且能清晰分辨水囊與實質腫瘤之特質。,消化系統(肝膽胰)放射線學 郭禹廷
66,"新生兒懷疑膽道閉鎖,「並不常」使用下列何項檢查?",(A)磁振造影,(B)超音波,(C)電腦斷層,(D)核醫膽道閃爍攝影,C,評估新生兒膽道閉鎖常用超音波（看三角徵）、核醫膽道閃爍攝影（HIDA scan 看核種是否能進腸道）及MRCP（磁振膽道造影）。而電腦斷層（CT）對於嬰兒膽道微細纖維化病變診斷價值極低，且伴隨不必要的輻射暴露，故常規上「不屬於」常用診斷工具。,消化系統(肝膽胰)放射線學 郭禹廷
67,下列何者並非肝臟血管瘤的典型表現?,(A)動態掃描呈現向心型顯影(centripetal enhancement),(B)MRI T2 高訊號強度,(C)超音波高回音病灶並伴隨後方聲波加強,(D)動脈相高顯影、門脈相比周圍肝臟低顯影,D,(D)「動脈期快速高顯影（Wash-in）、門脈期與延遲期迅速減退變黑且比周圍正常肝組織低回音（Wash-out）」是極經典的「肝細胞癌（HCC）」影像學大魔王死穴特徵。血管瘤在動態CT/MRI下的典型特徵是周邊結節狀向心型填充顯影（Centripetal filling）。,消化系統(肝膽胰)放射線學 郭禹廷
68,在消化系統血管/非血管介入性放射線學影像中，順著深度深入肝內並與十二指腸消化道相通的管道，此箭頭所指的構造是什麼管道?,(A)肝動脈 Hepatic artery,(B)肝門靜脈 Hepatic portal vein,(C)肝管 Hepatic duct,(D)肝靜脈 Hepatic vein,C,影像上顯影結構由肝內微細管道逐步匯聚，最終向下跨越並流入小腸/十二指腸管腔內，此生理防線解剖構造必然為負責引流膽汁的「肝管/膽管（Hepatic duct）」。,消化系統介入性放射線學 石明誠
69,"在做影像導引切片（Imaging-guided biopsy）時,需要避開哪些組織或器官以防範嚴重併發症?",(A)血管 Vessels,(B)膽囊 Gallbladder,(C)胰臟 Pancreas,(D)以上構造均須避開 All of the above should be avoided.,D,執行穿刺切片路徑設計的最核心鐵律為「路徑最短、跨越最少關鍵危險構造」。戳到大血管會引發不可收拾的內出血；戳穿膽囊會引發膽汁性腹膜炎；穿透胰臟則會引發壞死性胰液滲漏胰臟炎。故以上構造均需嚴格避開。,消化系統介入性放射線學 石明誠
70,"下列有關肝臟移植術前的評估及術後的照顧,何者正確?","(A)成功的活體肝臟移植,在技術上有四大考量 adequate graft volume、sufficient inflow、good outflow secure bile duct anastomosis.","(B)對活體肝臟捐贈者而言,若有 steatohepatitis,但剩餘肝臟容積大於30% standard liver volume,仍建議其可捐贈右肝葉。","(C)肝臟移植術後,輸血血品必須 irradiation,主要是為了避免cytomegalovirus 的感染。","(D)在移植前評估時,意外發現病人有 renal cell carcinoma,則其應被排除在肝臟移植等候者名單。",A,(A)正確，此為 LDLT 技術成功的四大黃金支柱。(B)捐贈者一旦確認患有脂肪肝炎（Steatohepatitis），不論容積多大一律列為活體捐贈禁忌。(C)Irradiation（放射線照射血品）的核心目的是為了消滅非特異性免疫T細胞，防範發生致命的移植物抗宿主疾病（TA-GvHD）及預防 EBV 相關淋巴增生疾病。(D)Incidental renal cell carcinoma 經特定評估判定後，不影響肝移植資格。,肝臟移植 張文燦
71,"下列有關活體肝臟移植(LDLT)優先分配與適應症基準的敘述,何者正確?","(A)C型肝炎男性病人,有三顆大小分別為4.0cm, 2.0cm, 3.0cm的肝細胞癌,沒有血管侵犯與遠端轉移,則其可接受活體肝臟移植。","(B)52歲病人在接受肝臟移植後第三天發生 portal vein stenosis,則病人有資格列入 status 1 waiting list.","(C)因為 bile duct epithelium cell 沒有ABO血型的antigen,所以血型不相容的LDLT的膽道併發症發生率,較血型相容的LDLT為低。","(D)12歲(含)以下或18歲(含)以下且40公斤(含)以下之腦死捐贈者,優先分配給18歲(含)以下等候者",D,(D)正確，符合台灣器官移植等候與器官分配大原則之兒童/青少年相對因素優先權。(A)依據 UCSF 多發肝癌標準，總直徑和必須「小於或等於 8cm」；該患者總和為 4+2+3=9cm，已超出規範。(B)移植後14天內發生「肝動脈栓塞（HAT）」才符合 Status 1 等級資格。(C)膽管上皮細胞「富含」ABO血型抗原，因此血型不相容移植其後續膽道壞死狹窄併發症機率顯著增高。,肝臟移植 張文燦
72,"下列有關胰臟炎生理機制與處置的敘述,何者正確?",(A)膽道結石是慢性胰臟炎之常見主要致病因素之一,"(B)診斷慢性胰臟炎,病人血清脂解酶(lipase)和澱粉酶(amylase)數值要至少高於正常2倍以上","(C)secretin 負責刺激胰臟分泌富含電解質之胰液,cholecystokinin (CCK)負責刺激胰臟分泌富含消化酶之胰液",(D)膽道結石導致之胰臟炎均需及早接受經內視鏡逆行性膽管與胰管攝影術(ERCP)檢查,C,(C)正確，此為胃腸道生理學經典核心。(A)膽道結石是引發「急性胰臟炎」的元凶，慢性胰臟炎的主因是長期酗酒或基因突變。(B)慢性胰臟炎後期由於細胞大量萎縮纖維化，發作時酶類（Amylase/Lipase）往往在正常範圍或僅有輕微浮動。(D)只有在結石造成持續性總膽管阻塞、合併急性膽管炎敗血症時，才需在24小時內安排緊急ERCP。,胰臟炎 林子堯
73,"下列有關特殊胰臟疾患與實驗室數據指標的敘述,何者正確?","(A)第一型自體免疫性胰臟炎(AIP)之病人其抽血之IgG 4值在正常上限2倍以上,最常見之主要臨床表徵為腹痛,治療以類固醇為主","(B)慢性胰臟炎病人如出現脂肪痢(steatorrhea)代表其胰臟外分泌機能可能只剩下不到正常之10%,對已出現脂肪痢之病人,如需使用制酸劑來抑制胃酸時應選擇使用含鎂或鈣之制酸劑",(C)腎衰竭病人其血清澱粉酶(amylase)與脂解酶(lipase)之測定值即使在無急性胰臟炎時仍可能高於正常值範圍,(D)病人出現胰臟偽囊腫(pseudocyst)均須及早進行引流以避免感染或破裂,C,(C)正確，由於體內血清澱粉酶與脂解酶主要經由腎臟排泄清除，當發生嚴重腎衰竭尿毒症時，即使全無胰臟發炎，這兩項數值仍會因為清除率下降而出現基礎值假性升高的現象。(A)AIP最核心臨床表現為「無痛性阻塞性黃疸」，易與胰頭癌混淆。(B)出現脂肪痢應絕對避免使用含鎂或鈣之制酸劑，以免其與游離脂肪酸結合，干擾補充之胰脂酶（PERT）作用。,胰臟炎 林子堯
74,"病人因上腹痛及解黑便來急診疑有胃出血且吐出黑紅色的嘔吐物,以下病人狀況何者綜合評估後「不適合(具絕對/相對禁忌)」立即執行上道內視鏡檢查? a) 病人X光懷疑有胃穿孔併有 free air b) 病人血壓心跳稍高每分鐘100/min,血壓正常,神智正常 c) 病人很喘血氧SaO2低,要用高濃度氧氣,怕嘔吐時有吸入性肺炎 d) 病人血壓只有80/50mmHg,心跳>150下為休克狀況",(A) a+b,(B) a+c+d,(C) b+d,(D) a+b+c,B,上消化道胃鏡檢查的绝对禁忌症包含：消化道疑似或已證實穿孔（a）、心肺血流動力學極度不穩定/未經穩定建立復甦的休克狀態（d）。另外，嚴重低血氧呼吸窘迫（c）在未插管保護氣道前強行施作胃鏡，極易引發大量吸入性肺炎窒息，屬於高度相對禁忌。,消化系內視鏡學簡介 余方榮
75,"病人來急診腹痛住院,經腹部電腦斷層發現有小腸的異常出血及懷疑小腸腫瘤,請問下列何者組合為目前進一步探查小腸盲區最適當的診斷與治療工具? a) EMR b) ERCP c) Double balloon enteroscopy d) Capsular endoscopy",(A) a+b,(B) c+d,(C) b+c,(D) b+d,B,針對過去常規胃鏡與大腸鏡無法抵達的「小腸盲區（Deep/Small bowel bleeding）」，現代醫學核心首選診斷與治療黃金組合為：膠囊內視鏡（Capsule endoscopy，高敏感全段定位篩檢）搭配雙氣囊小腸鏡（Double balloon enteroscopy，可深入病灶處進行止血或切片治療）。,消化系內視鏡學簡介 余方榮
76,"下列有關遺傳/自體免疫肝臟疾病的敘述,何者為錯誤?","(A)Wilson 氏症表現為肝實質銅含量增加和24小時尿銅排泄增加,血清攜銅蛋白降低,可能有Kayser-Fleischer環","(B)自體免疫肝炎“Autoimmune Hepatitis”發生在女性較多,目前治療的準則為使用皮質類固醇與免疫抑制劑","(C)青銅色糖尿病包括肝硬化,糖尿病和皮膚色素沉著的典型三聯徵是 Hemochromatosis 的特徵性表現",(D)a1 抗胰蛋白酶缺乏(Antitrypsin Deficiency)與M/S/Z等位基因 alleles(染色體 Chromosome 13)有關。,D,1-抗胰蛋白酶缺乏症（AATD）其編碼基因 SERPINA1 以及常見的 M/S/Z 變異等位基因，是位於人體第 14 號染色體（Chromosome 14）上，而非第 13 號染色體。,非病毒性肝炎 戴嘉言
77,"下列關於新版脂肪肝疾病命名與臨床診斷敘述,何者為錯誤?","(A) 非酒精性脂肪肝“nonalcoholic fatty liver disease”與肥胖,糖尿病或高脂血症相關的特徵為特徵。","(B) 酒精性脂肪性與非酒精性脂肪肝肝臟組織學切片類似,較無法明確區分確診。","(C) 毎週飲酒量女性<140克/週,男性<210克/週之脂肪肝病嫌可診斷為 Metabolic (dysfunction)- associated steatotic liver disease (MASLD)。","(D) 脂肪性肝炎肝臟組織學可能顯示肝細胞氣球樣變性,輕度瀰漫性小葉混合急性和慢性炎症。",C,"(C)錯誤。最新的國際指南中，MASLD的診斷核心是「具有肝臟脂肪變性(steatosis)，加上具備至少一項心血管代謝風險因子(cardiometabolic risk factors)」，並非單純靠飲酒量來開立診斷。每週飲酒量超標(女>140g, 男>210g)但同時符合代謝異常者，應歸類在全新的中介分類——MetALD。",非病毒性肝炎 戴嘉言
78,"關於消化道內視鏡的學術/臨床描述,下列何者為非?",(A)是消化道黏膜疾病診斷率最高的醫療技術,"(B)雖為微創診治技術,但仍有風險,需患者同意","(C)可於麻醉或非麻醉下進行,視患者意願與處置複雜度而定","(D)為避免交叉感染疑慮,內視鏡及醫材皆單次使用後即予拋棄",D,內視鏡主機與管身昂貴，臨床上是在每次使用後，依照嚴格的感控規範經過高規格、多道程序的「化學高階消毒與清洗（High-level disinfection）」後重複循環使用，並非單次拋棄式醫材。僅部分切片夾等細部耗材為單次使用。,進階消化系內視鏡 許文鴻
79,"關於影像強化內視鏡(Image Enhanced Endoscopy, IEE)之敘述,下列何者有誤?","(A)以化學或光學方法,凸顯消化道黏膜正常與異常組織間的差異",(B)可增加消化道黏膜疾病的偵測率,(C)輔助消化道黏膜早期癌邊界的判定、侵犯深度的評估,(D)可用於黏膜下腫瘤深度的判定,D,"影像強化內視鏡（如 NBI、藍光、化學染色等）的核心機制是強化「表面黏膜層（Mucosa）」的微細血管與腺體開口構造。而黏膜下腫瘤（Submucosal tumor, 如 GIST、平滑肌瘤）深埋在黏膜基底下方，IEE 完全無法穿透，必須仰賴超音波內視鏡（EUS）才能判定深度。",進階消化系內視鏡 許文鴻
80,"關於胃腺癌(adenocarcinoma)的臨床症狀和治療,下列何者不正確?","(A)免疫療法在轉移性胃癌的療效顯著,近年的研究已證實可作為一線治療",(B)台灣及日本等國胃癌的標準術式是胃切除併 D2淋巴結摘除,"(C)在左鎖骨上出現大淋巴結,即可判斷是晚期胃癌出現的Virchow's node",(D)胃癌起初的症狀和其他胃部疾病如潰瘍、消化不良等不易區分,C,雖然左鎖骨上淋巴結腫大（Virchow's node）是晚期胃癌轉移的經典特徵，但並非看到此處腫大就「即可判斷」必然是胃癌引起。肺癌、食道癌、胰臟癌、腎癌及淋巴瘤等多種惡性腫瘤，皆有同等機率轉移至左鎖骨上。臨床上必須靠切片確診。,胃腫瘤 吳宜珍
81,"關於惡性胃腫瘤分類與 Lauren 組織學分型的敘述,哪一項組合正確? (1)胃淋巴癌(lymphoma)是第二常見的惡性胃腫瘤。(2)胃間質瘤(GIST)屬於非上皮起源,內視鏡下常表現為黏膜下腫瘤。(3)diffuse type 胃腺癌與遺傳較無關。(4)intestinal type 胃腺癌好發在胃的近端,diffuse type 則多在遠端。",(A) (1)+(2),(B) (1)+(2)+(4),(C) (2)+(3)+(4),(D) (1)+(2)+(3)+(4),A,(1)(2)敘述完全正確。(3)相比之下，彌漫型胃癌（Diffuse type）多伴隨 E-cadherin (CDH1基因) 的表達缺失，與「家族性遺傳」關聯性顯著較高。(4)配對完全相反，Intestinal type 好發於胃竇等遠端位置；Diffuse type 則多好發於近端（近賁門處），且常進展成皮革胃（Linitis plastica），預後極差。,胃腫瘤 吳宜珍
82,"關於制酸劑 proton-pump inhibitors (PPIs),下列敘述何者錯誤?",(A)該類藥物抑制 H+/K+-ATPase 活性,"(B)半衰期約為1~4小時,故口服藥物頻率建議一天四次(QID)",(C)建議空腹服藥,(D)能調整胃酸環境從pH<2至 pH>4,B,雖然 PPIs 在血中的生物半衰期（t1/2）大約只有 1 到 2 小時，但因為它們是與胃壁細胞上的質子幫浦進行「不可逆的共價結合（Irreversible inhibition）」，其藥效可持續 24 小時以上直到新的幫浦被製造。因此，常規臨床使用頻率為「一天一次（QD）」或一天兩次，絕非一天四次。,消化系統藥理學 林凡立
83,自體免疫性胰臟炎（AIP）第二型與第一型相比，最核心的相異學術特徵為何?,(A)主要出現在老年男性，且伴隨全身多器官病變,(B)血清中 IgG4 數值通常會顯著暴增超過 2 倍以上,"(C)組織學上有著特異性的粒細胞上皮損傷（GEL, Granulocytic epithelial lesion）",(D)對於皮質類固醇（Corticosteroid）的治療完全沒有任何反應,C,第二型自體免疫性胰臟炎（Type 2 AIP）屬於局限於胰臟的特異疾病（無全身 IgG4 多器官累及），其血清 IgG4 數值通常完全正常。組織病理學上的黃金核心特徵是見到「粒細胞上皮損傷（GEL）」，且其與第一型相同，對於類固醇一線治療反應極佳。,胰臟炎 林子堯
84,"Osmotic laxatives 滲透性瀉劑中,關於Lactulose 的敘述何者錯誤?","(A)作為瀉劑之機轉為加強水分進入腸道以軟化糞便,同時藥物代謝物能刺激腸胃蠕動","(B)代謝物包含 acetate 以及 lactate,其助於酸化腸道",(C)上述選項能促進 ammonia (NH3)轉換為ammonium (NH4+),(D)應留意副作用如惡化肝性腦病變,D,Lactulose（乳果糖）在結腸內會被細菌分解為有機酸（Lactate 與 Acetate），這會強烈酸化腸道環境，促使易被吸收的毒性游離氨（NH3）轉化為不被腸道吸收的銨離子（NH4+）並隨糞便排出。因此，它是臨床上用來「治療與緩解」肝性腦病變的首選第一線核心王牌藥物，而非其引發的副作用。,消化系統藥理學 林凡立
85,"關於治療大腸激躁症(IBS)的藥物 Alosetron,下列敘述何者錯誤?",(A)屬於5-HT3-receptor antagonist,(B)核准於治療女性 constipation-predominant IBS,"(C)可減少 5-HT3對EPAN的活化,減少腸胃傳遞不適感至中樞","(D)可減少5-HT3 對 myenteric IPAN的活化,降低腸道收縮","B,C",本題因原考卷在選項 B、C 出現了同義錯植，經集體申覆後送分。在學術藥理定義上，Alosetron 屬於 5-HT3 受體拮抗劑，其唯一的法定臨床適應症是核准用於治療「重度且對常規治療無效之女性『腹瀉型大腸激躁症(Diarrhea-predominant IBS)』」，而非便秘型。,消化系統藥理學 林凡立
