id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
35,關於小腸出血的處置，下列敘述何者不適當？,電腦斷層血管攝影(CTA)對於小腸的急性大量出血，有定位出血點的診斷優勢,膠囊內視鏡應優先執行於深部小腸鏡，如果沒有經濟上的考量,如急性出血且生命徵象不穩定時，可優先執行深部小腸鏡檢查,如果無法正確找到小腸出血的病因，長期補鐵也是一種治療方式,C,當患者出現急性大量出血且生命徵象不穩定（Hemodynamically unstable）時，絕對禁忌直接做耗時且侵入性高的深部小腸鏡檢查。此時應先進行輸血與生命徵象復甦（Resuscitation），並優先安排血管攝影（Angiography）或 CTA 尋找出血點進行血管栓塞（Embolization）或緊急手術介入,小腸疾病的診斷與治療,,在處理小腸出血的情況下，對於急性大量出血且生命徵象不穩定的患者，進行深部小腸鏡檢查是非常危險的，因為這是一個耗時且侵入性高的程序。在這種情況下，應優先進行輸血和生命徵象的穩定，並使用電腦斷層血管攝影（CTA）或血管攝影來定位出血點，這樣可以更快地進行血管栓塞或緊急手術介入。這樣的處置能夠有效降低患者的風險並提高治療的成功率。
36,關於小腸血管異常增生(angioectasia)，下列敘述何者不正確？,小腸血管異常增生是常見造成小腸出血的因之一,主要造成的原因不明，但與許多慢性共病有流行病學上的相關性,在慢性腎衰竭的病人身上常會發現這種病灶,藥物治療可治癒小腸血管異常增生,D,藥物治療（如 Somatostatin analogs、Thalidomide 或 Hormonal therapy）主要是用來減少出血頻率與輸血需求，並無法「治癒」（cure）血管結構本身的異常增生,小腸疾病的診斷與治療,,小腸血管異常增生是一種常見的病理狀態，通常與慢性疾病有關，並且是小腸出血的潛在原因之一。雖然藥物治療可以幫助減少出血的頻率和輸血的需求，但這些治療並不能根本上治癒血管結構的異常增生。這意味著患者可能需要長期的監測和管理，以控制症狀並減少併發症的風險。
37,下列敘述何者為錯誤？,最近提出之 Metabolic (dysfunction)-associated steatotic liver disease (MASLD) 需判別 cardiometabolic criteria，分成成人與兒童,MetALD 定義男/女生每日喝酒量為 20-50/30-60 克,美國 FDA 已通過藥廠開發的藥物 Semaglutide 治療 MASH，此藥物是一種甲狀腺激素受體（thyroid hormone receptor）的部分活化劑可有效改善肝纖維化,依據研究論文發表結果，Vitamin E (800 IU/day) 對 steatohepatitis 有療效，但須注意增加出血性中風及攝護腺癌等副作用,B/C,B 錯誤（原敘述性別與攝入量對顛倒）： MetALD 指的是符合 MASLD 標準且伴隨中度飲酒者。其酒精攝取量定義為：女性每天 20–50 克、男性每天 30–60 克（題目寫反成「男/女為 20-50/30-60 克」）。 C 錯誤（藥物機轉與名稱完全錯置）：首個獲美國 FDA 核准用於治療 MASH 伴纖維化的甲狀腺素受體-β（THR-β）選擇性活化劑是 Resmetirom（Rezdiffra），而非 Semaglutide。Semaglutide 屬於 GLP-1 受體促效劑（GLP-1 receptor agonist）。,肝臟腫瘤診斷與處理的原則,,在最近的研究中，Metabolic (dysfunction)-associated steatotic liver disease (MASLD)的定義需要根據心臟代謝標準進行判別，並且對於男性和女性的酒精攝取量有明確的定義。MetALD的定義是女性每日20-50克，男性每日30-60克，這一點在題目中被顛倒了。此外，Semaglutide並不是用於治療MASH的藥物，正確的藥物應該是Resmetirom，它是一種選擇性活化劑，專門針對甲狀腺素受體-β。這些知識對於臨床醫師在治療代謝相關脂肪肝病時至關重要。
38,下列關於 metabolic (dysfunction)-associated fatty liver disease (MAFLD)敘述何者為錯誤？,Lean/normal weight 合併脂肪肝者，triglyceride 或 HDL-cholesterol 為診斷基準七項中之項目,診斷 MAFLD 者須評估纖維化程度進行 risk 分級來決定追蹤方式,脂肪肝亞洲人合併 BMI>20 kg/m2 或確診糖尿病即可診斷,有一 Lean/normal weight 合併脂肪肝病患，其血壓 140/90 及 high-sensitivity C-reactive protein level=5mg/dl 可診斷,C,根據 2020 年MAFLD 共識診斷標準，過重/肥胖的 BMI 切點在亞洲人為 >=23kg/m2（過重），而非>20kg/m2,肝臟腫瘤診斷與處理的原則,,根據2020年MAFLD的共識診斷標準，對於亞洲人來說，過重或肥胖的BMI切點應設定為>=23kg/m2，而不是>20kg/m2。因此，選項C的敘述是錯誤的。這一標準的設定是基於對亞洲人群的流行病學研究，旨在更準確地識別出有風險的患者。其他選項中提到的診斷標準和評估方法都是正確的，這些都是臨床上評估和管理MAFLD的重要依據。
39,下列關於非酒精性脂肪性肝病 “nonalcoholic liver diseases” 敘述何者為錯誤？,屬於非酒精性脂肪性肝病的範圍之一。,與肥胖，糖尿病或高脂血症相關的特徵為特徵。,飲酒超過每日 5g 的患者需排除。,肝臟組織學可能顯示肝細胞氣球樣變性(ballooning degeneration)，輕度瀰漫性小葉混合急性和慢性炎症(diffuse lobular mixed acute and chronic inflammation)。,C,NAFLD 涵蓋了單純脂肪肝（NAFL）及非酒精性脂肪肝炎（NASH）。病理特徵包括大脂肪滴、肝細胞氣球樣變性（ballooning）及小葉內發炎。,肝臟腫瘤診斷與處理的原則,,非酒精性脂肪性肝病（NAFLD）是一個涵蓋範圍廣泛的疾病，包括單純脂肪肝（NAFL）和非酒精性脂肪肝炎（NASH）。在診斷NAFLD時，飲酒量的考量是非常重要的，通常需要排除那些每日飲酒超過5克的患者，因為這可能會影響病情的評估。NAFLD的病理特徵包括肝細胞的氣球樣變性和小葉內的炎症，這些都是診斷和管理該疾病的重要依據。
40,下列關於酒精性肝病 “Alcoholic liver diseases” 敘述何者為錯誤？,Naltrexone (𝜇-opioid antagonist) 與 Acamprosate Calcium positive allosteric modulator of GABAA receptors 可用於戒酒,"病理表現包括 Mallory bodies Infiltration by neutrophils, fatty changes 及 bridging necrosis",Maddrey Discriminant function > 22 時建議使用 Prednisolone(類固醇),常見 serum AST>ALT,C,評估重症急性酒精性肝炎（Severe Alcoholic Hepatitis）是否需使用類固醇治療，採用的Maddrey Discriminant Function (mDF)切點為>=32（而非>22）。當mDF>=32 才代表高短期死亡率，建議使用 Steroids (Prednisolone),非病毒性肝炎,,酒精性肝病的診斷與治療中，Maddrey Discriminant Function (mDF) 是一個重要的指標，用於評估急性酒精性肝炎的嚴重程度。當 mDF 值大於或等於 32 時，表示患者有較高的短期死亡風險，因此建議使用類固醇進行治療。選項 C 的錯誤在於將 mDF 的臨界值錯誤地設定為 22，這會導致對患者病情的誤判，影響治療決策。正確的臨界值應為 32，這是臨床上廣泛接受的標準。
41,下列敘述何者為錯誤？,酒精性脂肪肝和 NAFLD 的特徵主要是大液滴（macrovesicular）為主之脂肪變性。,青銅色糖尿病(Bronze diabetes)包括肝硬化，糖尿病和皮膚色素沈著的典型三聯徵(classic triad)是血色素沉著症(Hemochromatosis)的特徵性表現,Wilson 氏症表現為肝實質銅含量增加和 24 小時尿銅排泄增加，可能有 Kayser-Fleischer 環。,𝛼1 抗胰蛋白酶缺乏(Antitrypsin Deficiency)與 M/S/Z 等位基因 alleles（染色體 Chromosome 13）有關，常見正常/輕度減少/顯著降低的 𝛼1 抗胰蛋白酶濃度。,D,𝛼1-Antitrypsin 基因（SERPINA1）位於第 14 號染色體（Chromosome 14q32.13），而非第 13 號染色體（Chromosome 13）,非病毒性肝炎,,𝛼1 抗胰蛋白酶缺乏症是一種遺傳性疾病，主要由 SERPINA1 基因的突變引起。該基因位於第 14 號染色體，而非第 13 號染色體。這種缺乏會導致肺部和肝臟的損傷，因為該蛋白質在保護組織免受酵素損害方面起著重要作用。選項 D 的錯誤在於將基因位置錯誤地標示為第 13 號染色體，這會導致對疾病的理解和診斷的誤解。
42,下列關於自體免疫肝炎”Autoimmune Hepatitis”敘述何者為錯誤?,"第I 型自體抗體包含ANA, SMA；第II 型：抗LKM，抗SLA；第III 型：抗LC1",目前治療的準則為使用皮質類固醇(glucocorticoid)與免疫抑制劑(immunosuppressive agent),發生在女性較多,以自體免疫特徵、高球蛋白血症(hyperglobulinemia)和存在循環自體抗體(circulating autoantibodies)為特徵,A,(A)第II 型：抗LKM、抗LC1；第III 型：抗SLA,非病毒性肝炎,,自體免疫肝炎是一種以自體免疫反應為基礎的肝臟疾病，主要分為三種類型。第 I 型自體免疫肝炎通常伴隨抗核抗體（ANA）和抗平滑肌抗體（SMA），而第 II 型則以抗肝腎微粒體抗體（LKM）和抗SLA抗體為特徵。第 III 型則主要是抗LC1抗體。選項 A 的錯誤在於對抗體類型的描述不正確，這可能會導致對疾病的診斷和治療的誤解。
43,55 歲男性，慢性B 型肝炎帶原20 年，超音波發現肝臟2.5 cm 腫瘤。三相電腦斷層顯示病灶於動脈期顯著增強(arterial enhancement)，於靜脈期出現 washout。最可能診斷為：,肝細胞癌(HCC),肝囊腫(Cyst),局部結節性增生(FNH),肝膿瘍(Abscess),A,(A)動脈期增強、門靜脈期washout 為HCC 典型影像診斷 (B)肝囊腫不增強、不會washout (C)FNH 會arterial enhancement 但沒有washout；中央疤痕比較典型 (D)肝膿瘍通常發燒、WBC↑、Ring enhancement,肝臟腫瘤診斷與處理的原則,,在影像學上，肝細胞癌（HCC）通常表現為在動脈期的顯著增強和靜脈期的 washout。這是由於腫瘤的血供特性所致，HCC 通常具有豐富的動脈供血，而在靜脈期則因腫瘤的血流動態改變而出現 washout。選項 A 的描述符合 HCC 的典型影像學特徵，而其他選項則不符合這一特徵，因此最可能的診斷為肝細胞癌。
44,關於肝海綿狀血管瘤(cavernous hemangioma)，下列何者正確？,最常見肝內惡性肝腫瘤,AFP 通常升高,組織切片是首選診斷方法,大部分病人不需治療,D,(A) Hemangioma 是最常見良性 (B) AFP 正常 (C)診斷靠：US、CT、MRI，切片有出血風險,肝臟腫瘤診斷與處理的原則,,肝海綿狀血管瘤是最常見的良性肝腫瘤，通常不需要治療，因為大多數患者無症狀且腫瘤不會進一步增長。選項 D 是正確的，因為這類腫瘤通常在影像學檢查中被發現，並且不會引起臨床問題。相對於惡性腫瘤，海綿狀血管瘤的診斷不需要組織切片，因為切片可能會導致出血風險。
45,62 歲男性，肝硬化背景下發現單一2 cm HCC，Child-Pugh A，無血管侵犯及肝外轉移。下列何者是會建議病人的最優先治療方式？,Sorafenib,Best supportive care,Operation 或 RFA 或 MWA,Ramucirumab,C,病患屬於Very early / Early HCC。治療包括：手術、RFA、MWA,肝臟腫瘤診斷與處理的原則,,對於早期肝細胞癌（HCC），最佳的治療選擇通常是手術切除、射頻消融（RFA）或微波消融（MWA）。這些治療方法能夠有效地去除腫瘤，並且在沒有血管侵犯和肝外轉移的情況下，患者的預後通常較好。選項 C 是最優先的治療方式，因為它針對腫瘤的根治性治療，而其他選項則不符合早期 HCC 的治療指導原則。
46,下列何者比較不適合接受TACE(Transcatheter Arterial Chemoembolization)？,HBV 感染且肝功能無失代償,單一腫瘤,Child-Pugh B/C 失代償肝硬化,AFP 升高,C,不適合TACE 對象：Child-Pugh B 晚期、Child-Pugh C、有明顯肝功能失代償,肝臟腫瘤診斷與處理的原則,,TACE（經導管動脈化療栓塞）是一種針對肝細胞癌的治療方法，但對於肝功能失代償的患者（如 Child-Pugh B 或 C），這種治療可能會增加肝功能不全的風險。因此，選項 C 是不適合接受 TACE 的患者類型，因為這些患者的肝功能已經受到損害，進行 TACE 可能會導致更嚴重的併發症。
47,下列關於不可切除 HCC 第一線全身治療的敘述，何者錯誤？,Atezolizumab + Bevacizumab 為第一線選項之一,Durvalumab + Tremelimumab 為第一線選項之一,Nivolumab + Ipilimumab 已成為第一線選項之一,Sorafenib 為目前唯一可使用的第一線治療,D,Sorafenib 不是唯一第一線治療，至少還有Durvalumab、Lenvatinib,肝臟腫瘤診斷與處理的原則,,在不可切除的肝細胞癌（HCC）治療中，Sorafenib 曾經是唯一的第一線治療選擇，但隨著新療法的出現，現在已經有多種治療選擇，包括 Atezolizumab + Bevacizumab 和 Lenvatinib 等。因此，選項 D 的說法是錯誤的，因為 Sorafenib 現在不是唯一的第一線治療，臨床上有多種有效的治療方案可供選擇。
48,72 歲男性，BCLC B、Child-Pugh A，過去一年接受4 次TACE，最近影像呈現多發新病灶，AFP 持續上升，下列何者比較適當？,繼續每2 個月接受TACE,考慮合併或者改為全身治療(systemic therapy),觀察即可,改用抗生素治療,B,TACE failure 建議盡早開始Systemic therapy,肝臟腫瘤診斷與處理的原則,,對於已經接受多次 TACE 且出現新病灶的患者，這通常表明 TACE 治療失敗。在這種情況下，應考慮轉向全身治療（systemic therapy），以更有效地控制病情。選項 B 是最適當的選擇，因為持續 TACE 可能無法改善患者的預後，而全身治療則可能提供更好的治療效果。
49,"一位65 歲慢性B 型肝炎男性病患至門診就診，其血清B 型肝炎標記如下：HBsAg(+), HBeAg (+), HBeAb (-), IgG Anti-HBc (+), IgM Anti-HBc (-), AST 15 U/L (正常值上限42 U/L), ALT 21 U/L (正常值上限40 U/L), B 型肝炎病毒量 HBV DNA: 64,800,000 IU/mL，其他生化檢驗數值皆為正常。請問此病患最有可能為下列B 型肝炎自然病史期別中何者？",免疫耐受期 (Immune tolerance),免疫活化期 (Immune active),不活化期 (inactive),不確定期 (Indeterminate),A,"因HBeAg(+)且HBV DNA: 64,800,000 IU/mL > 10,000,000 IU/mL 但ALT 正常，故為免疫耐受期",病毒性肝炎(II),,"在慢性 B 型肝炎的自然病史中，免疫耐受期是指患者雖然有高水平的病毒載量（如 HBV DNA 超過 10,000,000 IU/mL），但肝功能指標（如 ALT）正常，且 HBeAg 呈陽性。這表明患者的免疫系統對病毒的反應較弱，無法有效清除病毒。選項 A 是正確的，因為該患者的檢查結果符合免疫耐受期的特徵。"
50,"某日一位55 歲男性病患就診，主述最近一個星期感覺倦怠。血液檢查發現AST 40 U/L (正常值上限 42 U/L), ALT 35 U/L (正常值上限 40 U/L), 總膽紅素(total bilirubin) 1.1 mg/dL (正常值上限 1.0 mg/dL), 凝血酶原Prothrombin time 無延長。血清B 型肝炎標記如下：HBsAg(+), HBeAg (-), HBeAb (+), IgG Anti-HBc (+), IgM Anti-HBc (-), B 型肝炎病毒量 HBV DNA: 1,500 IU/mL。腹部超音波顯示肝硬化合併脾腫大。針對病患目前B 型肝炎狀態，請問此時你的下一步應為下列何者？","因為B 型肝炎病毒量小於2,000 IU/mL，不需要B 型肝炎抗病毒藥物治療","若後續追蹤B 型肝炎病毒量大於2,000 IU/mL，但若肝功能指數ALT 正常仍然不需要B 型肝炎抗病毒藥物治療",雖然已經是肝硬化合併脾腫大且病毒量檢測得到，但肝功能指數ALT 正常且無肝代償不良之現象，目前仍然不需要B 型肝炎抗病毒藥物治療,已經是肝硬化合併脾腫大且病毒量檢測得到，雖然肝功能指數ALT 正常，但仍應開始B 型肝炎抗病毒藥物治療,D,因患者已經有肝硬化了，根據不論是AASLD 或是EASL 指引，只要出現肝硬化，不管AST、ALT 或病毒量，一律立即給藥治療,病毒性肝炎(II),,在這道題目中，病患已經被診斷為肝硬化，這是一個重要的臨床指標，根據AASLD和EASL的指引，肝硬化患者無論其肝功能指數（如AST和ALT）或病毒量如何，都應立即開始抗病毒治療。這是因為肝硬化患者的肝臟功能已經受到損害，持續的病毒複製可能會進一步惡化肝臟狀況，增加肝癌的風險。因此，選擇D選項是正確的，因為即使肝功能指數正常，仍然需要進行抗病毒治療以保護肝臟健康。
51,下列敘述何者錯誤？,B 型肝炎抗病毒藥物中免疫調節劑 (immune modulator)主要為長效型干擾素 (pegylated interferon alpha-2a)，其缺點為副作用大且相對病毒複製抑制效果較差,B 型肝炎抗病毒藥物中口服核苷酸類似物 (oral nucleos(t)ide analogs) 抑制病毒複製的效果很好，但須長期治療，且停藥後復發的風險高,B 型肝炎口服核苷酸類似物 (oral nucleos(t)ide analogs) 也可以使用於治療D 型肝炎感染，抑制D 型肝炎病毒複製的效果同樣很好,B 型肝炎帶原者若罹患癌症須接受化學藥物治療 (Chemotherapy)，應接受預防性B 型肝炎抗病毒藥物治療,C,B 型肝炎口服核苷酸類似物 (oral nucleos(t)ide analogs)也就是B 肝口服抗病毒藥只對B 肝有效，對D 肝沒有效果,病毒性肝炎(II),,在這道題目中，選項C是錯誤的，因為B型肝炎的口服核苷酸類似物主要是針對B型肝炎病毒的治療，對於D型肝炎病毒並不具有效果。D型肝炎病毒需要特定的治療方法，通常是使用干擾素等免疫調節劑。其他選項均正確地描述了B型肝炎抗病毒藥物的特性和使用情況。因此，了解不同病毒的治療方式及其適應症是臨床醫療中的重要知識。
52,評估肝硬化Child-Pugh score 時，何者非考量因素？,prothrombin time 值,ascites,NH3 值,albumin 值,C,很多本都有提到，背熟！ 5 個評估項目，各給1-3 分(越高分越不好): (1) Bilirubin (解毒功能、越高越差) (2) Albumin (生合成功能、越低越差) (3) Prothrombin time (凝血功能、越延長越差) (4) Ascites (腹水、越嚴重越差) (5) Encephalopathy (肝昏迷、級數越高越差),肝硬化與衰竭,,在評估肝硬化的Child-Pugh score時，主要考量的因素包括膽紅素、白蛋白、凝血酶原時間、腹水及肝性腦病等五個項目。NH3值並不在這些考量之內，因此選擇C是正確的。Child-Pugh score的評估對於預測肝硬化患者的預後及治療方案的選擇具有重要意義。了解這些評估指標有助於臨床醫師在管理肝硬化患者時做出更為精確的決策。
53,臨床上疑似肝腎症候群(hepatorenal syndrome)引起寡尿(oliguria)的處置何者為非？,給予vasoconstrictor,停止NSAID 使用,補充albumin,給予利尿劑,D,肝腎症候群時要停止服用傷腎的藥(利尿劑、NSAID、有腎毒性的藥等) 利尿劑會讓身體排出更多水分，進一步減少血管內的有效血容積，使腎臟灌流更加惡化、加重寡尿與腎衰竭。因此，當懷疑或確診HRS 時，必須停用利尿劑,肝硬化與衰竭,,在肝腎症候群的情況下，使用利尿劑是非常不建議的，因為它會進一步減少有效血容量，導致腎臟灌流惡化，從而加重寡尿和腎衰竭。相反，應該考慮使用血管收縮劑和補充白蛋白來改善腎臟的血流。因此，選擇D是正確的，因為這是對於肝腎症候群的錯誤處置。
54,肝昏迷理學檢查發現有flapping tremor (asterixis)代表至少已經為第幾等級？,Grade 1,Grade 2,Grade 3,Grade 4,B,flapping tremor (asterixis)為Grade 2 的重要特徵，老師上課有特別強調！,肝硬化與衰竭,,在肝昏迷的評估中，flapping tremor（也稱為asterixis）是肝性腦病的一個重要臨床指標，通常出現在Grade 2的肝昏迷患者中。這種顫動是由於腦部對於氨等毒素的敏感性增加所引起的，反映了肝臟的解毒功能受損。因此，選擇B是正確的，因為flapping tremor的出現表明患者的病情已經達到中度的肝性腦病。
55,一位學生在掃描膽囊gallbladder 時，發現膽囊腔內靠近前壁處有細小回音，懷疑是膽泥sludge。然而，調低整體增益overall gain 並改變探頭角度後，該回音幾乎消失。下列何者最可能解釋此現象？,真正膽泥sludge，因側回音被錯放Side-lobe artifact 沉降,膽結石gallstone，因聲影acoustic shadow 被遮蔽,雜訊noise 或波束寬度假影beam-width artifact,混響Reverberation 與側邊聲影lateral edge shadow,C,附圖與共筆與上課講義內beam-width artifact 的圖片相同 Noise 形成原因為增益(gain)太高導致出現細小回音，降低gain 後會有所改善；波束寬度假影beam-width artifact 的形成為當波束斜斜打到囊性結構壁時，波束同時涵蓋無回音腔內液體與高反射囊壁，機器將兩者回音平均後，會在囊壁內側顯示模糊細碎回音，形成pseudosludge(假性膽泥)，調整探頭角度後便會消失。綜上所述，本題可能為雜訊noise 或波束寬度假影beam-width artifact,消化系超音波學,,在這道題目中，學生在掃描膽囊時發現的細小回音可能是由於增益設置過高所引起的雜訊或波束寬度假影。當增益過高時，超音波機器可能會將背景噪音誤認為回音，導致出現假性膽泥的現象。調整增益和探頭角度後，這些回音幾乎消失，進一步支持了這一解釋。因此，選擇C是正確的，因為它最能解釋觀察到的現象。
56,一位病人接受腹部超音波，肝臟liver 呈明顯高回音hyperechoic，肝腎回音差liver-kidney contrast 增加，深部肝實質顯示變差，肝靜脈hepatic veins 較不清楚，但肝表面仍大致平滑，沒有腹水ascites。下列何者最可能？（圖五）,脂肪肝 fatty liver,晚期肝硬化 advanced cirrhosis,瀰漫性肝轉移 diffuse liver metastatis,大型血管瘤 hemangioma,A,脂肪細胞在超音波下會造成強烈散射，使肝實質看起來更亮，也就是高回音hyperechoic。變亮的肝臟與正常回音的腎臟皮質對比此時也會增加，形成liver-kidney contrast。高回音同時也讓肝靜脈的血管壁與管腔的邊界變得模糊。最後超音波的能量在穿透脂肪組織時能量會衰減，使深部的肝組織不清楚 (B)晚期肝硬化回看到肝表面凹凸不平，且會有腹水 (C)通常會出現多發性結癤或不規則腫塊，較少出現肝腎對比增加與深部衰減 (D)血管瘤在超音波下也會有高回音，但通常會是局部性的病灶，不會影響到整個肝臟,消化系超音波學,,在這道題目中，病人的肝臟在超音波檢查中顯示出明顯的高回音，這通常是脂肪肝的特徵。脂肪肝會導致肝臟的回音強度增加，並且與腎臟的回音形成明顯對比。肝靜脈的邊界模糊和深部肝組織的顯示不清楚也支持了脂肪肝的診斷。其他選項如晚期肝硬化和肝轉移通常會伴隨其他明顯的超音波特徵，因此選擇A是正確的。
57,一位68 歲病人因無痛性黃疸painless jaundice 接受腹部超音波檢查。檢查發現總膽管common bile duct 為12mm，胰管pancreatic duct 為4mm，胰頭pancreatic head 區域疑似有低迴音hypoechoic 腫塊。下列何者是最合理的判讀？,總膽管12mm 可視為正常老化變化，不需進一步檢查,同時出現總胰管與胰管擴張，需警覺胰頭癌pancreatic head cancer 或壺腹部病變ampullary lesion,胰管4mm 仍屬正常，因此胰臟阻塞可能性低,若未看到明顯膽結石gallstone，即可排除阻塞性黃疸obstructive jaundice,B,胰管管徑判讀：<2mm 正常；2-3mm 邊緣；>3mm 擴張 總膽管管徑判讀： (A)總膽管擴張，需進一步檢查 (B)題幹描述的為經典的雙管徵象(Double Duct Sign)，描述同時觀察到胰管與總膽管擴張，暗示兩管匯流的遠端（胰頭或壺腹部）存在阻塞性病變 (C)胰管擴張 (D)可能為非結石性阻塞，例如惡性腫瘤,消化系超音波學,,在這道題目中，病人出現無痛性黃疸，並且超音波檢查顯示總膽管和胰管的擴張，這是經典的雙管徵象，通常提示胰頭癌或壺腹部病變的可能性。因此，選擇B是正確的，因為這種情況需要進一步的檢查以確定病因。其他選項則未能正確反映病情的嚴重性和需要的後續行動。
58,以下哪個不是臨床幽門桿菌三合一治療常規用藥？,Proton-pump inhibitor（質子幫浦抑制劑）,Amoxicillin（阿莫西林）,Bismuth（鉍劑）,H2RA（H2(受體拮抗劑）,D,"幽門桿菌感染治療：一到兩種制酸劑（bismuth compound 或PPI）+兩種以上抗生素（clarithromycin, amoxicillin, metronidazole or tinidazole, tetracycline, rifabutin, furazolidone, levofloxacin） (D)制酸劑不能用H2 blocker 或鋁鎂製劑！",胃腫瘤及消化性潰瘍之外科治療,,在這道題目中，幽門桿菌的三合一治療通常包括質子幫浦抑制劑、阿莫西林和鉍劑，而H2受體拮抗劑並不在常規治療中。這是因為H2RA的效果不如質子幫浦抑制劑在抑制胃酸分泌方面有效，因此選擇D是正確的，因為它不屬於幽門桿菌的標準治療方案。
59,關於幽門桿菌（H. pylori），下列何者為真：,世界衛生組織WHO 將H. pylori 列為人類胃癌第一級致癌物是根據實驗的直接證據,目前唯一的自然宿主只有人類,具鞭毛的革蘭氏陽性螺旋狀細菌,需氧菌，可產生毒素因子與尿素酶,B,(A)是基於大量流行病學研究，顯示有強烈相關性，而非實驗證實（以前考古都寫動物實驗） (B)正確 (C)革蘭氏陰性 (D)微需氧菌,胃腫瘤及消化性潰瘍之外科治療,,在這道題目中，選擇B是正確的，因為幽門桿菌（H. pylori）目前被認為是唯一的自然宿主是人類。其他選項均不正確，例如A選項的說法是基於流行病學研究而非直接實驗證據，C選項錯誤地將其描述為革蘭氏陽性，而實際上它是革蘭氏陰性，D選項則錯誤地將其描述為需氧菌，實際上H. pylori是一種微需氧菌。
60,關於幽門桿菌的檢查，下列何者為非？,對於治療幽門桿菌後的追蹤可以用糞便抗原檢測,血清抗體檢查無法用來作為殺菌後的早期追蹤,消化性潰瘍且幽門螺旋桿菌之病人，在治療幽門桿菌後，如需使用碳13 尿素呼氣法追蹤治療效果時，因為病人有消化性潰瘍，仍應同時持續使用氫離子阻斷劑治療潰瘍,快速尿素酶試驗變成紅色代表陽性，乃因為酸鹼度變化,C,使用PPI、抗生素、bismuth 可能會造成偽陰性,胃腫瘤及消化性潰瘍之外科治療,,幽門桿菌（Helicobacter pylori）是一種與多種胃腸疾病相關的細菌，包括消化性潰瘍和胃癌。對於治療後的追蹤，糞便抗原檢測和呼氣試驗是常用的方法。然而，使用質子泵抑制劑（PPI）和抗生素可能會導致偽陰性結果，因為這些藥物會影響幽門桿菌的生存和檢測的準確性。因此，選項C是正確的，因為在治療消化性潰瘍的同時，仍需使用氫離子阻斷劑來控制潰瘍的症狀，這樣才能準確評估治療效果。
61,潰瘍性大腸炎（Ulcerative colitis）以continuous lesion 為特徵，下列何者為例外情況？,Backwash ileitis,Cecal patch,Creeping fat,Cobble stone appearance,B,Cecal patch 為UC 唯一不連續病灶,發炎性腸病,,潰瘍性大腸炎（UC）是一種以連續性病變為特徵的炎症性腸病，通常影響結腸和直腸。選項B中的Cecal patch是UC中唯一的非連續病灶，這意味著它不符合潰瘍性大腸炎的典型病理特徵。其他選項如Backwash ileitis和Creeping fat通常與克隆氏症（Crohn's disease）相關，而Cobble stone appearance則是克隆氏症的特徵。因此，Cecal patch是例外情況，正確答案為B。
62,"關於潰瘍性大腸炎（Ulcerative colitis, UC）和克隆氏症（Crohn disease, CD），下列敘述何者為錯？",UC 比CD 病例多,兩者發病年齡在台灣無高雙峰現象,CD 最好發位置在小腸Jejunum,CD 比之UC 容易diagnose lately,C,最好發位置在遠端迴腸distal lieum,發炎性腸病,,潰瘍性大腸炎（UC）和克隆氏症（CD）是兩種主要的炎症性腸病。雖然UC的病例數通常多於CD，但CD的最佳發病位置實際上是在遠端迴腸（distal ileum），而不是小腸的空腸（jejunum）。因此，選項C的敘述是錯誤的。這一點對於臨床診斷和治療策略的制定至關重要，因為不同的病變位置可能會影響治療的選擇和預後。
63,"下列有關生物製劑(biologic agent)使用於炎性腸病(Inflammatory bowel disease, IBD)，何者為錯？",Anti-TNF α (tumor necrosis factor α)是最早發展應用於IBD 的生物製劑,Anti-integrin 是Gut-selective 生物製劑,Anti-TL1A(tumor necrosis factor-like ligand 1A)有抑制纖維化的效果,使用 Anti-integrin 要特別注意 herpes zoster and thromboembolism 副作用,D,會產生帶狀皰疹（herpes zoster）以及栓塞（thromboembolism）副作用的 是 JAK inhibitor（如 Anti-JAK1 的 Upadacitinib），並非 Anti-integrin,發炎性腸病,,生物製劑在炎性腸病（IBD）的治療中扮演著重要角色，尤其是抗TNF-α和抗整合素類藥物。選項D的敘述是錯誤的，因為帶狀皰疹和栓塞的副作用主要與JAK抑制劑（如Upadacitinib）相關，而不是抗整合素藥物。抗整合素藥物的副作用通常較少，且其作用是針對腸道特異性，因此在IBD的治療中被廣泛應用。
